filepath,label,num_steps,final_dE
vasp-data-files/101101110001000000000110/OSZICAR,0,200,0.0262884
vasp-data-files/101101111110111111010001/OSZICAR,0,200,0.0177745
vasp-data-files/101101111111110011010001/OSZICAR,1,137,-0.0238191
vasp-data-files/101110000001100001100001/OSZICAR,0,200,-0.014833
vasp-data-files/101110000100001010011000/OSZICAR,1,185,0.0248994
vasp-data-files/101110000100111110100000/OSZICAR,0,200,-0.0166973
vasp-data-files/101110000101000001101111/OSZICAR,1,142,0.0305232
vasp-data-files/101110000101110011000100/OSZICAR,1,186,0.0272489
vasp-data-files/101110001101010111010001/OSZICAR,0,200,0.00692705
vasp-data-files/101110001110011101010011/OSZICAR,0,200,0.0350718
vasp-data-files/101110010100111011000100/OSZICAR,1,122,0.024878
vasp-data-files/101110011001010001000110/OSZICAR,0,200,-0.0342335
vasp-data-files/101110101100010000111110/OSZICAR,0,200,0.0279903
vasp-data-files/101110111010110011001111/OSZICAR,0,200,-0.0229108
vasp-data-files/101111000001111110100000/OSZICAR,0,200,0.0194284
vasp-data-files/101111000100011100100100/OSZICAR,1,175,0.0260222
vasp-data-files/101111000100111010100011/OSZICAR,1,109,0.0228053
vasp-data-files/101111000110011100100100/OSZICAR,0,200,0.0251796
vasp-data-files/101111001000100011010111/OSZICAR,1,102,0.0257274
vasp-data-files/101111001011100011100001/OSZICAR,1,175,0.0227513
vasp-data-files/101111001100010010100010/OSZICAR,1,124,0.0254227
vasp-data-files/101111001100010011100010/OSZICAR,1,197,0.0687261
vasp-data-files/101111010100110000100100/OSZICAR,0,200,-0.00693682
vasp-data-files/101111010101001111101011/OSZICAR,1,115,-0.013107
vasp-data-files/101111100000000011101101/OSZICAR,0,200,0.0233229
vasp-data-files/101111100100111011100011/OSZICAR,1,161,-0.0253621
vasp-data-files/101111100101000010111111/OSZICAR,0,200,0.0266047
vasp-data-files/101111100101111000100000/OSZICAR,1,100,-0.0134068
vasp-data-files/101111100110001111111101/OSZICAR,1,171,0.0276471
vasp-data-files/101111101101011010111100/OSZICAR,1,114,0.0250315
vasp-data-files/110000000011100101010001/OSZICAR,0,200,0.00532561
vasp-data-files/110000010011000011011001/OSZICAR,0,200,0.0240943
vasp-data-files/110000010110101101010011/OSZICAR,0,200,0.0245806
vasp-data-files/110000011001000011111010/OSZICAR,1,165,-0.00576833
vasp-data-files/110000011100011000001011/OSZICAR,1,131,0.0264637
vasp-data-files/110000011100111100000000/OSZICAR,0,200,-0.0177589
vasp-data-files/110000101000000110101100/OSZICAR,0,200,-0.00885641
vasp-data-files/110000101010001110011011/OSZICAR,0,200,0.00314356
vasp-data-files/110000110001111111010001/OSZICAR,1,105,0.0273427
vasp-data-files/110000111011001111011011/OSZICAR,0,200,0.0295694
vasp-data-files/110000111110100001010011/OSZICAR,0,200,0.027739
vasp-data-files/110001000011001111101110/OSZICAR,0,200,0.00266816
vasp-data-files/110001001100001101110101/OSZICAR,0,200,-0.026767
vasp-data-files/110001010101000001010111/OSZICAR,1,123,0.0285271
vasp-data-files/110001011011111101111011/OSZICAR,1,114,0.0253819
vasp-data-files/110001101111010110111011/OSZICAR,1,106,0.0261339
vasp-data-files/110001110110000110011100/OSZICAR,0,200,0.0398461
vasp-data-files/110001111011001111111001/OSZICAR,1,106,0.0259705
vasp-data-files/110001111110110011011111/OSZICAR,0,200,0.0254913
vasp-data-files/110010001001100111111001/OSZICAR,1,110,0.0249894
vasp-data-files/110010010011000001111101/OSZICAR,0,200,0.0226917
vasp-data-files/110010100010001101001111/OSZICAR,0,200,0.0257713
vasp-data-files/110010100101011101000011/OSZICAR,0,200,0.0205614
vasp-data-files/110010101011000001111111/OSZICAR,0,200,0.0536918
vasp-data-files/110010110010100111010001/OSZICAR,1,111,0.0106274
vasp-data-files/110010111000111100000000/OSZICAR,1,136,0.0198902
vasp-data-files/110010111010000010101010/OSZICAR,0,200,0.0718983
vasp-data-files/110010111011000101111111/OSZICAR,1,131,0.0255436
vasp-data-files/110010111011100011111101/OSZICAR,1,185,0.0263929
vasp-data-files/110010111011101011000111/OSZICAR,1,123,0.0253943
vasp-data-files/110010111011110000101100/OSZICAR,0,200,0.0250761
vasp-data-files/110011110100000011011101/OSZICAR,1,131,0.0154537
vasp-data-files/110011111010011101101001/OSZICAR,0,200,0.0192854
vasp-data-files/110011111101000001111111/OSZICAR,0,200,0.0186246
vasp-data-files/110100000101010001010010/OSZICAR,0,200,0.0262802
vasp-data-files/110100000111000100101000/OSZICAR,0,200,0.0232686
vasp-data-files/110100001000111000000001/OSZICAR,1,121,-0.0145042
vasp-data-files/110100001001001111000001/OSZICAR,0,200,-0.0251872
vasp-data-files/110100001101110001000111/OSZICAR,0,200,0.0331556
vasp-data-files/110100001101111100101000/OSZICAR,1,110,-0.0215583
vasp-data-files/110100001110001101011001/OSZICAR,0,200,0.077646
vasp-data-files/110100001110001101111001/OSZICAR,1,109,0.0283529
vasp-data-files/110100001111100001000011/OSZICAR,0,200,0.0265868
vasp-data-files/110100010111000101000001/OSZICAR,0,200,-0.0261752
vasp-data-files/110100011100111100100000/OSZICAR,0,200,-0.0442265
vasp-data-files/110100101100101110100011/OSZICAR,1,141,0.0259684
vasp-data-files/110100101111001001011101/OSZICAR,0,200,0.0305848
vasp-data-files/110100110001110001011001/OSZICAR,0,200,-0.0408581
vasp-data-files/110100110011001101010101/OSZICAR,1,116,0.0249822
vasp-data-files/110100110011001101111001/OSZICAR,1,136,0.0204017
vasp-data-files/110100110101111101010001/OSZICAR,0,200,0.025127
vasp-data-files/110100111100111101010001/OSZICAR,1,140,0.0223454
vasp-data-files/110100111100111101010011/OSZICAR,0,200,-0.0071695
vasp-data-files/110101000101000011111110/OSZICAR,1,149,0.0258989
vasp-data-files/110101100010001010011111/OSZICAR,0,200,0.0351022
vasp-data-files/110101101100011001010011/OSZICAR,1,156,-0.0159953
vasp-data-files/110101101100111101010011/OSZICAR,1,140,0.0269939
vasp-data-files/110101110010001101011001/OSZICAR,1,145,0.0264516
vasp-data-files/110101111100111101010011/OSZICAR,0,200,0.0789878
vasp-data-files/110110000011010000111100/OSZICAR,1,126,0.0125493
vasp-data-files/110110000011010010101100/OSZICAR,1,120,0.0249292
vasp-data-files/110110000111000011111111/OSZICAR,1,145,0.0252257
vasp-data-files/110110001000011100100000/OSZICAR,1,122,0.0267396
