filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,0,"rms(c) stagnates around 0.25 after step 40 with no clear downward trend, indicating divergence despite small dE values",,True,,8.336082220077515,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0,"rms(c) stagnates around 0.22-0.27 after step 40 with no clear downward trend, indicating divergence despite some dE fluctuations",,True,,11.060771703720093,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"rms(c) shows clear decreasing macro-trend from 1.22E+01 to 6.50E-02 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,7.18553614616394,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Clear monotonic decrease in both dE and rms(c) values with dE reaching ~1E-04 and rms(c) steadily decreasing from 106 to 0.119E-02, following ideal convergence pattern",,True,,6.25632905960083,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"dE oscillates with large magnitudes (>1E-01) and rms(c) stagnates at 1.6-1.8 with no decreasing trend, matching Case Study 3 divergence pattern",,True,,5.644663572311401,9,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Strong damping trend in rms(c) from 1.26E+01 to 1.34E-02 with consistent decrease despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,3.9018986225128174,7,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Clear monotonic decrease in rms(c) from 1.22E+01 to 1.18E-02 with consistent downward trend, dE oscillations decreasing in magnitude, following Expert's Tie-Breaker Rule",,True,,4.310417175292969,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Despite dE oscillations, rms(c) shows clear macro-trend decreasing from 122E+01 to 0.474E-01 with consistent downward progression, indicating damped oscillatory convergence",,True,,4.834706544876099,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Despite dE oscillations, rms(c) shows clear downward macro-trend from 106E+02 to 0.460E-01 over steps 12-50, indicating damped oscillatory convergence",,True,,6.962479829788208,7,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Despite dE oscillations in final steps, rms(c) shows clear downward macro-trend from 1.06E+02 to 6.38E-02 over 39 steps, indicating damped oscillatory convergence",,True,,6.511648416519165,7,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"rms(c) stagnates around 19-22 with no clear downward trend after step 12, indicating divergence according to Expert's Tie-Breaker Rule",,True,,5.706080436706543,8,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Strong downward macro-trend in rms(c) from 126E+02 to 177E-01 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,15.973300457000732,7,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Despite dE oscillations, rms(c) shows clear downward macro-trend from 125E+02 to 0.408E+00 over steps 13-50, indicating damped convergence",,True,,3.2881920337677,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"dE shows oscillatory behavior but rms(c) exhibits clear downward macro-trend from 1.05E+01 to 3.17E-02 over 39 steps, indicating damped convergence",,True,,16.87363600730896,7,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,"Despite significant dE oscillations, rms(c) shows clear downward macro-trend from ~100 to ~0.16 over 50 steps, indicating damped convergence according to Expert's Tie-Breaker Rule",,True,,4.4459733963012695,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,"rms(c) stagnates around 1.8-2.0 with no clear downward trend, and dE shows persistent large oscillations indicating divergence",,True,,2.7302160263061523,8,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1,"Despite significant dE oscillations, rms(c) shows clear macro-trend decreasing from 126E+02 to 0.217E+00 over steps 13-50, following the Expert's Tie-Breaker Rule",,True,,8.351498365402222,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,0,"rms(c) stagnates around 0.4E-01 after step 40 with no clear downward trend, indicating divergence despite some dE oscillation damping",,True,,4.92536187171936,7,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Clear downward macro-trend in rms(c) from 121E+02 to 0.260E-02 with consistent damping, despite some dE oscillations, following the Expert's Tie-Breaker Rule",,True,,4.619247674942017,8,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,"Despite dE oscillations, rms(c) shows clear macro-trend decreasing from 105E+00 to 0.163E+00 over last 39 steps, following Expert's Tie-Breaker Rule",,True,,4.105871200561523,7,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Despite dE oscillations, rms(c) shows clear macro-trend decreasing from 125E+00 to 0.786E-01 with consistent downward progression, indicating damped convergence",,True,,9.840789079666138,7,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Clear downward macro-trend in rms(c) from 124E+02 to 121E-01 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,3.3906683921813965,7,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"Despite dE oscillations, rms(c) shows clear downward macro-trend from 10.5 to 2.78 over steps 12-50, indicating damped oscillatory convergence",,True,,5.949370861053467,7,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1,"Despite significant dE oscillations, rms(c) shows clear downward macro-trend from 122E+01 (step 13) to 105E+01 (step 50), indicating damped convergence according to Expert's Tie-Breaker Rule",,True,,3.9011099338531494,7,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Strong downward macro-trend in rms(c) from 122E+01 to 279E-02 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,3.3439745903015137,7,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1,"Despite dE oscillations, rms(c) shows clear macro-trend decreasing from 1.05E+01 to 3.15E-01 over steps 12-50, indicating damped convergence",,True,,4.257511377334595,7,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"rms(c) shows clear downward macro-trend from 126E+02 to 254E+00 despite dE oscillations, indicating damped convergence",,True,,22.74248456954956,7,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"Damped oscillatory convergence - rms(c) shows clear downward macro-trend from 1.06E+01 to 1.45E-01 despite dE oscillations, following Expert Tie-Breaker Rule",,True,,4.598572731018066,7,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"Clear downward macro-trend in rms(c) from 106E+02 to 0.301E-02 with consistent damping, despite some dE oscillations in early steps",,True,,3.0012869834899902,8,50,True
