filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,0.0,"rms(c) stagnates at ~2.5E+00 in final steps with oscillations, overriding small dE values indicating divergence per Tie-Breaker Rule",,True,,21.67295265197754,8.0,50.0,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0.0,"rms(c) stagnates at ~0.22-0.29 in final steps with no downward trend, overriding dE oscillations per Expert Rule",,True,,43.20222282409668,9.0,50.0,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1.0,"rms(c) exhibits a strong downward macro-trend from 122 to 0.0065 with consistent damping, overriding dE oscillations per Expert Rule",,True,,44.1666898727417,9.0,50.0,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1.0,"rms(c) shows consistent macro-decrease from 1.24E+01 to 1.19E-03, meeting convergence thresholds despite dE oscillations",,True,,22.401859998703003,9.0,50.0,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0.0,"rms(c) stagnates at ~1.7-1.8E+01 in final steps with no downward trend, matching Case Study 3 divergence pattern",,True,,21.542152643203735,9.0,50.0,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1.0,"Macro-trend of rms(c) shows consistent decrease from 126 to 0.0134 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,25.407523155212402,8.0,50.0,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1.0,"rms(c) shows clear macro-decreasing trend from ~1E+02 to 1.18E-02 despite early dE oscillations, satisfying Tie-Breaker Rule",,True,,11.990714311599731,8.0,50.0,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1.0,"rms(c) exhibits a strong downward macro-trend (from ~100 to 0.047) with damping oscillations, overriding dE noise. Final rms(c)=0.474E-01 indicates approaching convergence.",,True,,23.057621002197266,8.0,50.0,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1.0,rms(c) shows clear macro-trend decreasing from ~1E+02 to ~5E-01 despite dE oscillations; follows Expert Tie-Breaker Rule indicating convergence,,True,,12.700301170349121,7.0,50.0,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1.0,"rms(c) shows strong macro-decreasing trend from 1E+02 to 6E-02 with damping oscillations, overriding dE noise per Expert Rule",,True,,12.813006162643433,8.0,50.0,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0.0,"rms(c) stagnates at ~1.9-2.2E+01 in later steps with no downward trend, overriding dE oscillations per Expert Rule",,True,,17.417049646377563,8.0,50.0,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1.0,"Macro-trend of rms(c) shows consistent downward progression from 10.6 to 0.0177 despite dE oscillations, aligning with Expert's Tie-Breaker Rule.",,True,,51.51979994773865,8.0,50.0,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1.0,"Macro-trend of rms(c) shows overall decrease from 125E+02 to 4.08E+00 despite dE oscillations and mid-calculation noise, indicating damped convergence",,True,,32.165241956710815,6.0,50.0,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1.0,"rms(c) shows clear macro-decreasing trend from 1.05E+01 to 3.17E-03 with damping oscillations, dE reaches <1E-03 in final steps",,True,,44.0425808429718,8.0,50.0,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1.0,"Significant dE oscillations but rms(c) shows overall decreasing macro-trend from ~100 to ~0.16 with damping noise, indicating ""fighting"" convergence per Expert Rule",,True,,23.14919686317444,6.0,50.0,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,,,,False,API调用失败,19.75720191001892,,,
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1.0,"rms(c) shows clear macro-decreasing trend from 126→2.17 despite dE oscillations, following Expert Tie-Breaker Rule",,True,,12.762704133987427,7.0,50.0,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,1.0,"Macro-trend of rms(c) shows steady decrease from ~100 to ~0.4 despite dE oscillations and late-stage noise, indicating ""fighting"" convergence per Expert Rule.",,True,,54.600136518478394,6.0,50.0,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1.0,rms(c) shows strong macro-decreasing trend from ~1E+02 to 2.6E-02 despite dE oscillations; follows Expert Tie-Breaker Rule,,True,,22.192932844161987,8.0,50.0,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1.0,"rms(c) exhibits overall downward macro-trend (from ~10.5 to 0.163) despite intermediate oscillations, satisfying Expert's Tie-Breaker Rule for convergence",,True,,145.4756088256836,7.0,50.0,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1.0,"Macro-trend of rms(c) shows steady decrease from ~100 to ~0.078 despite dE oscillations, indicating convergence per Expert Tie-Breaker Rule",,True,,93.13927483558655,8.0,50.0,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1.0,"rms(c) shows clear downward macro-trend from 105 to 1.21 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,37.096911668777466,8.0,50.0,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1.0,"Macro-trend of rms(c) shows overall decrease from ~100 to ~2.78 despite oscillations, aligning with Tie-Breaker Rule indicating convergence despite dE noise",,True,,27.72486686706543,6.0,50.0,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1.0,"Macro-trend of rms(c) shows clear downward progression from ~100 to ~10.5 despite dE oscillations and temporary rms(c) spikes, aligning with Expert Tie-Breaker Rule.",,True,,34.34108376502991,7.0,50.0,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1.0,"rms(c) shows clear macro-decreasing trend from ~10^1 to ~10^-2 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,28.27285933494568,7.0,50.0,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1.0,"rms(c) shows clear macro-decreasing trend from ~100 to ~0.03 despite dE oscillations, aligning with Expert's Tie-Breaker Rule",,True,,111.73897004127502,7.0,50.0,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1.0,"Macro-trend of rms(c) shows overall decrease from ~126 to 2.54 despite oscillations, aligning with Expert's Tie-Breaker Rule for convergence",,True,,14.549837589263916,7.0,50.0,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1.0,"rms(c) decreases from 1E+02 to 1.45E-02 with a clear macro-trend despite dE oscillations, meeting convergence via Expert's Tie-Breaker Rule",,True,,26.403591632843018,9.0,50.0,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1.0,"rms(c) shows strong downward macro-trend from ~100 to ~0.03 with damping oscillations, overriding dE fluctuations per Expert Rule",,True,,21.77536654472351,8.0,50.0,True
vasp-data-files/111100010101111011110101/OSZICAR,0,50,0.0,"rms(c) shows initial decrease but stagnates/rises in final steps (7.88→12.6) with large dE oscillations, violating Golden Rule of macro-trend decrease",,True,,18.314173698425293,8.0,50.0,True
vasp-data-files/101101010101111111101100/OSZICAR,1,50,1.0,"rms(c) shows strong macro-trend decreasing from >100 to ~0.01 with damping oscillations, overriding dE fluctuations per Expert Rule",,True,,28.070207834243774,8.0,50.0,True
vasp-data-files/100011101110110010111111/OSZICAR,1,50,1.0,"rms(c) shows a clear macro-decrease from 132 to 0.0717E-02 with final values below convergence thresholds, overriding dE oscillations per Expert Rule",,True,,142.14861226081848,9.0,50.0,True
vasp-data-files/101111000100111110100000/OSZICAR,1,50,1.0,"rms(c) shows consistent macro-scale decrease from 1E+02 to 1E-02 with final values <1E-03, overriding dE oscillations per Expert Rule",,True,,42.099297285079956,9.0,50.0,True
vasp-data-files/101011010100110010100100/OSZICAR,0,50,1.0,"Macro-trend of rms(c) shows overall decrease from ~100 to ~8 despite oscillations, aligning with Expert Tie-Breaker Rule for convergence despite dE noise",,True,,18.33928084373474,6.0,50.0,True
vasp-data-files/110100001110001101011001/OSZICAR,0,50,0.0,"rms(c) stagnates between 0.5-0.6E-01 in steps 36-50 with oscillations and no macro-decrease, overriding dE fluctuations (Expert Rule)",,True,,20.182634353637695,8.0,50.0,True
vasp-data-files/100100111111011001010111/OSZICAR,0,50,0.0,"rms(c) stagnates between 6.5-9.2 in later steps with no macro-decrease, dE remains above 1E-03 indicating divergence per Expert Rule",,True,,18.958242654800415,8.0,50.0,True
vasp-data-files/100001011101111010001100/OSZICAR,0,50,0.0,"rms(c) stagnates at ~1.5-2.0E+00 in final steps with no downward trend, overriding dE oscillations per Expert Rule",,True,,37.6942093372345,9.0,50.0,True
