filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"Energy oscillations dampened, dE and rms decreasing systematically, final steps show convergence to ~1E-4 eV precision",,True,,5.515725135803223,8,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing RMS and dE fluctuations, typical of difficult but ultimately converging metallic systems",,True,,3.5523011684417725,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, final steps show stable energy changes approaching convergence criteria",,True,,3.4299874305725098,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Energy and forces show systematic convergence with dE decreasing to ~1e-4 eV and rms(c) below 0.02 eV/Å, though convergence is slow with minor oscillations in final steps",,True,,8.414208173751831,7,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,1,"Energy oscillations are decreasing with RMS force showing steady improvement, overall trend suggests convergence despite some noise",,True,,4.410104990005493,7,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing RMS and energy changes, though convergence is slow after step 12 perturbation",,True,,4.310356378555298,7,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, typical RMM-DIIS behavior approaching convergence",,True,,4.515435218811035,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, typical of difficult but ultimately converging metallic systems",,True,,2.9803783893585205,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Energy oscillating but RMS and dE decreasing overall, showing slow convergence trend",,True,,3.6960883140563965,7,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Energy oscillating but RMS and dE decreasing overall, showing slow convergence trend with small fluctuations near convergence threshold",,True,,4.415935277938843,7,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"Energy oscillates without systematic decrease, RMS fluctuations persist, no clear convergence trend after 50 steps",,True,,4.721203565597534,7,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, though convergence is slow with some fluctuations in later steps",,True,,5.026272296905518,7,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Energy oscillations are decreasing with overall downward trend, RMS values show systematic reduction, and recent steps show small energy changes indicating approach to convergence",,True,,4.72041392326355,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, approaching typical convergence thresholds",,True,,5.029098987579346,8,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,"Energy oscillations are decreasing with overall downward trend, RMS values show systematic reduction, and recent steps show improved stability compared to early erratic behavior",,True,,4.10635781288147,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,"Energy oscillates without systematic convergence, large energy jumps persist after 50 steps, RMS fluctuations remain high indicating instability",,True,,4.414595365524292,7,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,0,"Energy shows oscillatory behavior with large fluctuations after step 12, RMS forces not systematically decreasing, indicating convergence failure",,True,,2.981119394302368,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,1,"Energy fluctuations are small (<0.16 eV) with decreasing RMS, showing typical convergence behavior despite minor oscillations in final steps",,True,,2.774862051010132,7,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, typical of challenging but ultimately converging metallic systems",,True,,3.4979655742645264,7,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,"Energy oscillations decreasing, RMS and dE trends show convergence, though some small fluctuations remain",,True,,2.869736909866333,7,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, typical of challenging but ultimately converging metallic systems",,True,,3.4964773654937744,7,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Energy oscillations dampening, RMS and dE decreasing systematically, convergence criteria approaching",,True,,2.8738276958465576,7,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"Energy oscillating but RMS and dE decreasing overall, showing slow convergence trend with no catastrophic divergence",,True,,3.1859209537506104,7,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1,"Energy oscillations are decreasing with RMS charge density showing steady improvement, suggesting convergence trend despite some energy fluctuations",,True,,2.8784332275390625,7,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Energy oscillations decreasing, RMS and rms(c) showing steady decline, system approaching convergence with small energy fluctuations",,True,,4.108323335647583,7,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1,"Energy oscillating but generally decreasing with small dE fluctuations, RMS forces decreasing overall, typical convergence behavior for challenging system",,True,,3.268095016479492,7,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"Energy oscillations are decreasing with RMS force showing steady improvement, overall trend suggests convergence despite some noise in later steps",,True,,3.0998964309692383,7,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"Energy oscillations are small and decreasing, RMS values show steady convergence trend, system appears to be approaching self-consistency with no major instabilities",,True,,2.885619878768921,7,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing dE and rms values, typical of difficult but ultimately converging metallic systems",,True,,3.7927842140197754,7,50,True
vasp-data-files/111100010101111011110101/OSZICAR,0,50,0,"Energy oscillates without systematic convergence, large energy jumps persist after 50 steps, RMS values remain high indicating poor electronic convergence",,True,,3.799807548522949,7,50,True
vasp-data-files/101101010101111111101100/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing RMS and dE fluctuations, similar to typical RMM-DIIS behavior before final convergence",,True,,4.1065895557403564,7,50,True
vasp-data-files/100011101110110010111111/OSZICAR,1,50,1,"Energy oscillates but shows overall convergence trend with decreasing RMS and dE fluctuations, typical of difficult but ultimately converging metallic systems",,True,,3.18349027633667,7,50,True
vasp-data-files/101111000100111110100000/OSZICAR,1,50,1,"Energy oscillations are small and decreasing, RMS values show steady convergence trend, system appears to be approaching self-consistency",,True,,3.1845030784606934,7,50,True
vasp-data-files/101011010100110010100100/OSZICAR,0,50,0,"Energy oscillates without systematic convergence, large energy jumps persist after 50 steps, RMS remains high indicating poor electronic minimization",,True,,3.1841773986816406,7,50,True
vasp-data-files/110100001110001101011001/OSZICAR,0,50,1,"Energy oscillates but shows overall stabilization with decreasing RMS and dE fluctuations, suggesting convergence trend despite minor instabilities",,True,,2.8792734146118164,7,50,True
