filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"dE and d eps show consistent decreasing trend reaching very small values (dE ~1E-04, d eps ~1E-04) by step 50, rms also decreasing to 1E-02, though rms(c) remains elevated but stable",,True,,7.0759241580963135,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0,"Persistent large dE oscillations (1E-01 to 1E+02 range), high rms(c) values (~2E+00), and failure to reach convergence thresholds indicate divergence",,True,,6.539261341094971,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"dE and d eps show consistent decreasing trend with values approaching convergence thresholds (dE ~1E-03, d eps ~1E-04), though some minor fluctuations in rms values persist",,True,,5.5703325271606445,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,Strong consistent decrease in dE and d eps reaching convergence criteria by step 50 with dE ~1E-04 and d eps ~1E-05,,True,,5.523615121841431,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"Significant instability with persistent large dE fluctuations (up to 3.38E+00), high rms(c) values (~1.77E+01), and failure to approach convergence thresholds",,True,,5.614145994186401,8,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Consistent decreasing trends in dE and d eps with values approaching convergence thresholds, though some minor fluctuations remain",,True,,5.172348737716675,7,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Consistent decreasing trends in dE (reaching ~1E-04), d eps (reaching ~1E-05), and rms values approaching convergence thresholds with stable progression in later steps",,True,,5.57321572303772,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Consistent decreasing trends in dE and d eps with values approaching convergence thresholds (dE ~1E-03, d eps ~1E-03), rms showing steady improvement, overall stable progression despite minor fluctuations",,True,,6.528806924819946,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Consistent decreasing trends in dE and d eps with dE reaching ~4E-02 eV and d eps ~3E-03 eV by step 50, showing clear progression toward convergence thresholds despite minor oscillations",,True,,6.220792293548584,7,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Consistent decreasing trends in dE and d eps with values approaching convergence thresholds (dE ~1E-02, d eps ~1E-03), rms values steadily decreasing to ~4E-02, showing stable electronic convergence behavior",,True,,6.186132431030273,7,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"Persistent large dE fluctuations (up to 21.7 eV), high rms(c) values (~20), and no consistent decreasing trend in key indicators suggest divergence",,True,,5.402695417404175,7,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,0,"Persistent large dE fluctuations (up to ~1E-01), high rms values, and erratic behavior with no consistent decrease to convergence thresholds",,True,,5.370563268661499,7,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,0,"Persistent large dE fluctuations (1-30 eV range), high rms values, and erratic energy behavior with no consistent decreasing trend toward convergence thresholds",,True,,5.643734693527222,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"dE and d eps show consistent decreasing trend with values approaching convergence thresholds (dE ~1E-03, d eps ~1E-04), rms and rms(c) also steadily decreasing, though some minor fluctuations remain",,True,,5.627289295196533,7,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,0,"Persistent large dE fluctuations (up to 5.12 eV at step 50), erratic rms behavior, and failure to approach convergence thresholds indicate unstable calculation",,True,,5.349420070648193,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,"Persistent large dE fluctuations (up to 48 eV), high rms values, and no consistent decreasing trend in key indicators, showing clear divergence pattern",,True,,4.686468124389648,8,50,True
