filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"Energy stabilizing with dE below 1E-4 at step 50, despite earlier instability at step 13",,True,,19.80159282684326,6,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0,Energy changes remain large after 50 steps and calculation shows instability with energy jumps,,True,,16.9187490940094,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Energy changes are consistently small in recent steps (< 0.001 eV), and RMS values are decreasing, indicating convergence despite earlier instabilities at steps 13 and 40.",,True,,24.998878955841064,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Energy changes are decreasing and stabilizing despite a disruption at step 13, with dE becoming very small by step 50.",,True,,16.39389944076538,7,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"Energy oscillates significantly after step 12, dE values remain large (0.01-0.3 eV range) even after 50 steps, showing no clear convergence trend",,True,,11.478356122970581,8,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,Energy stabilizing with decreasing dE and rms values after initial disruption at step 13,,True,,21.92382001876831,6,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Energy changes decreasing steadily and approaching typical convergence thresholds (dE ~ 1E-4 eV by step 50), despite earlier instability around step 12-13.",,True,,27.452372789382935,7,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,Energy changes decreasing steadily in later steps despite earlier instability at step 13,,True,,23.664411067962646,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Energy is gradually stabilizing with decreasing dE and rms values, though convergence will require many more steps.",,True,,21.410648584365845,6,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Energy is stabilizing with decreasing dE and RMS values approaching convergence criteria, despite earlier instability at step 13",,True,,15.62533688545227,7,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,Energy oscillations without consistent dE decrease and overall upward energy trend in later steps indicate convergence difficulties,,True,,18.69983696937561,7,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,0,"Calculation experienced major disruption at step 13 and hasn't recovered to previous lower energy state, with slow convergence suggesting potential convergence issues.",,True,,36.36206078529358,7,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Energy trending downward with decreasing fluctuations, though convergence is slow after disruption at step 13",,True,,15.47202181816101,6,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Energy stabilizes around -374.42 with decreasing dE and RMS values after initial instability at step 13, showing clear convergence behavior in later steps.",,True,,13.321620225906372,7,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,0,"Large energy oscillations continue after 50 steps with dE still ~0.5 eV, far from typical convergence criteria of ~1E-4 eV",,True,,32.062267780303955,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,Large energy fluctuations without stabilization after 50 steps,,True,,12.09103012084961,8,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,0,"Large energy oscillations persist after 50 steps, with significant energy changes (>1 eV) in recent steps, and RMS values not yet at convergence levels.",,True,,17.62435293197632,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,0,"Oscillations in dE values in later steps (41-50) indicate convergence difficulties, with energy changes alternating between positive and negative rather than consistently decreasing.",,True,,21.001339435577393,7,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"The calculation experienced a major energy jump at step 13 but has been slowly recovering since, with dE values trending downward toward convergence criteria.",,True,,15.780429601669312,6,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,"Energy fluctuations decreasing in magnitude, RMS values trending downward, no signs of divergence, but convergence is slow and not yet achieved at step 50.",,True,,104.25144219398499,6,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Energy is steadily decreasing with dE values getting smaller, though convergence is slow and there was a mid-calculation instability.",,True,,18.8527934551239,7,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Energy changes and RMS values show a general decreasing trend, indicating convergence despite slow progress and fluctuations.",,True,,132.20807147026062,6,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"Energy and residuals are decreasing steadily, though convergence will require many more steps to reach typical EDIFF criteria.",,True,,100.87084746360779,7,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,0,"Energy continues to fluctuate significantly after 50 steps with no clear stabilization trend, dE values remain large, and RMS values don't consistently decrease.",,True,,20.08011221885681,7,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Despite a major disruption at step 13 where energy jumped significantly, the calculation shows consistent decreasing energy and RMS values in later steps, with dE values approaching typical convergence thresholds in the final steps.",,True,,20.69706153869629,6,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,0,"Fluctuating dE values around 10^-3 eV after 50 steps, with energy increasing in the last step and RMS values not consistently decreasing, indicating difficulty finding a minimum.",,True,,39.43404817581177,8,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"Energy is stabilizing around -372.9 eV with decreasing dE and d eps values, though convergence is slow with fluctuations and a concerning jump at step 13.",,True,,21.614347457885742,6,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"Recent steps show small energy changes approaching convergence criteria, though slight oscillations and earlier energy jump suggest some instability.",,True,,103.02961325645447,5,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"Despite a major energy jump at step 13, the calculation shows consistent improvement in convergence metrics (dE and RMS decreasing) in the last 20 steps, trending toward typical VASP convergence thresholds.",,True,,18.539868354797363,7,50,True
vasp-data-files/111100010101111011110101/OSZICAR,0,50,0,"Calculation showed initial convergence but experienced major disruption at step 13, with continued energy fluctuations and no stabilization trend afterward.",,True,,14.55101227760315,7,50,True
