filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"Energy change falls below 1e-4 and rms(c) drops steadily from ~10 to ~0.25 showing clear downward macro‑trend, indicating convergence.",,True,,20.83105206489563,8,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"Overall rms(c) drops steadily from ~10 → 0.2 and dE shrinks to ~0.02, showing a clear decreasing macro‑trend despite minor late‑stage noise, indicating likely convergence.",,True,,31.523781299591064,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Macro‑trend of rms(c) steadily decreases from ~10 to ~0.006  (with only minor bumps) and dE drops below 1×10⁻³ by step 50; despite early oscillations, the charge‑density residual shows clear damping, indicating convergence.",,True,,10.248401403427124,8,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"After step 13 both dE and rms(c) decrease monotonically to <1e‑3 and ~1e‑2 respectively, showing clear convergence despite early large jump.",,True,,15.267719507217407,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,1,"Despite dE oscillations, rms(c) shows a clear overall downward macro‑trend after step 28, suggesting the calculation is “fighting” toward convergence.",,True,,16.395751476287842,6,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"After early large jumps, dE magnitude steadily falls below 0.1 and rms(c) drops from ~10 to 0.01 with a clear downward macro‑trend, satisfying convergence criteria.",,True,,24.014853477478027,9,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Both dE and rms(c) decrease steadily after early oscillations; rms(c) shows a clear downward macro‑trend to ~1e‑3, satisfying convergence criteria.",,True,,27.635123252868652,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Both dE magnitude and rms(c) show a clear monotonic decline (rms(c) from ~10 → 0.05, dE < 1e‑3 after step 30), satisfying convergence criteria.",,True,,10.298416376113892,9,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Overall rms(c) shows clear downward macro‑trend from ~10 to ~0.05 and dE shrinks to <1e‑2, indicating the calculation is “fighting” and will converge.",,True,,11.821679592132568,8,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Macro‑trend of rms(c) falls steadily from ~10 to ~0.006 (well below convergence threshold) while dE magnitude shrinks to ~10⁻³ with only minor oscillations, so the calculation is converging.",,True,,11.57982087135315,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"Energy change falls below 1e-2 but rms(c) drops early then plateaus around 2. with no clear further decrease, violating the macro‑trend rule and indicating divergence.",,True,,19.569113731384277,8,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Macro‑trend of rms(c) steadily decreases from ~10 → 0.02 despite dE oscillations, satisfying the tie‑breaker rule for convergence.",,True,,11.47938585281372,8,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Macro‑trend of rms(c) steadily drops from ~13 to ~0.4 despite dE oscillations, indicating the calculation is converging.",,True,,11.683465957641602,8,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Overall rms(c) drops from ~10 to 0.003 with clear downward macro‑trend despite occasional dE oscillations, indicating convergence.",,True,,11.379192590713501,8,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,"Macro trend of rms(c) steadily decreases from ~10 to ~0.16 despite early dE oscillations, indicating convergence per tie‑breaker rule.",,True,,22.025365829467773,8,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,1,"Overall rms(c) shows steady downward trend despite noisy dE, indicating the calculation is still “fighting” toward convergence.",,True,,13.116777896881104,7,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1,"Overall rms(c) shows steady downward macro‑trend despite dE oscillations, indicating the calculation is “fighting” toward convergence.",,True,,20.505464792251587,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,1,"Overall rms(c) shows a clear decreasing macro‑trend from ~10 → 0.04 despite noisy dE, so according to the tie‑breaker the run is still “fighting” and expected to converge.",,True,,9.21329641342163,7,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Rms(c) consistently decreases from ~10 → 0.0026 with clear downward macro‑trend; dE magnitude also drops to <1e‑3 after early spikes, so the calculation is converging.",,True,,30.79705238342285,9,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,"Overall rms(c) shows a clear decreasing macro‑trend despite occasional spikes and dE is already small, indicating the run is “fighting” toward convergence.",,True,,12.781808853149414,8,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Overall rms(c) drops from ~10 to ~0.08 with a clear downward macro‑trend and dE magnitude steadily shrinks to ~0.03 eV, indicating convergence minor fluctuations.",,True,,12.361430168151855,8,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Overall rms(c) shows clear downward macro‑trend from ~10 to 0.12 and dE magnitude diminishes, indicating convergence despite early oscillations.",,True,,14.653870582580566,8,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"Overall rms(c) drops from ~10 to ~0.3 with a clear downward macro‑trend despite occasional bumps; dE becomes <0.1 V, indicating convergence.",,True,,10.84540581703186,8,50,True
