filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (last 10 steps show <0.1 eV changes), rms(c) stabilized around 0.25, and dE trending toward zero - classic convergence behavior",,True,,14.125109434127808,8,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (rms(c) decreased from 10.5 to 0.263), energy changes are now small and mostly negative, showing systematic convergence behavior typical of successful VASP calculations.",,True,,9.014559984207153,8,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (rms < 0.1 eV), dE values are consistently decreasing toward 10^-3 eV range, and the calculation shows stable convergence behavior after initial fluctuations.",,True,,6.868112325668335,8,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Energy oscillations have stabilized, rms(c) decreasing monotonically from 0.106E+02 to 0.119E-02, showing clear convergence trend",,True,,4.7225661277771,8,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,1,"Energy oscillations are decreasing (rms(c) dropped from 29 to 1.77), showing systematic convergence behavior despite slow progress",,True,,3.49396014213562,8,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Energy monotonically decreasing since step 13, rms(c) dropping consistently from 0.126E+02 to 0.134E-01, showing stable convergence behavior",,True,,4.107056617736816,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Energy monotonically decreasing, dE and rms(c) consistently dropping by orders of magnitude, already at 10^-3 eV and 10^-2 respectively",,True,,6.872836589813232,9,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (rms < 0.1 eV), dE and d eps are monotonically decreasing toward convergence thresholds, and the calculation shows stable convergence behavior after step 30.",,True,,9.634554862976074,8,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (dE dropping from 10^3 to 10^-2), rms(c) consistently decreasing from 10^2 to 10^-1, showing stable convergence behavior",,True,,5.950413703918457,8,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (rms(c) decreased from 10.6 to 0.064), showing stable convergence behavior in final 20 steps with consistent energy decrease and small residual values.",,True,,4.106267213821411,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"Energy oscillating around -349 eV with no downward trend, rms(c) stuck at ~2 eV for 30+ steps, indicating poor charge density convergence",,True,,3.802539587020874,8,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (rms(c) dropped from 10.6 to 0.177), showing clear convergence trend in last 20 steps with decreasing energy changes and residuals.",,True,,15.471565246582031,8,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Energy oscillations are decreasing (rms(c) dropping from 10.6 to 0.408), showing systematic convergence toward -370.4 eV with stable energy changes in last 10 steps.",,True,,7.485910415649414,8,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Energy monotonically decreasing, dE and rms(c) consistently dropping by orders of magnitude, already reached 10^-3 eV energy change and 10^-2 rms(c) thresholds",,True,,6.561988115310669,8,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,"Energy shows consistent downward trend (-1607→-372 eV) with decreasing rms(c) from 10.5 to 0.16 eV, indicating stable convergence toward self-consistency",,True,,5.3343915939331055,8,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,Energy oscillating wildly (-487→-355→-346 eV) with rms(c) stuck at ~18 indicating poor charge density convergence after 50 steps,,True,,4.208655595779419,8,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1,rms(c) has dropped from ~10^2 to 0.217E+00 in 50 steps and is still decreasing monotonically; energy oscillations are shrinking and the last 10 steps show steady downward drift toward convergence threshold.,,True,,5.135192394256592,8,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,0,"After step 30, energy oscillates with increasing amplitude (±0.01-0.02 eV) and rms(c) plateaued around 0.4-0.5, showing no systematic convergence trend.",,True,,8.813322067260742,8,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Energy oscillations damped after step 12, rms(c) monotonically decreasing from 0.105 to 0.026, dE and d eps trending toward convergence thresholds",,True,,6.568151473999023,8,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,rms(c) has dropped from ~10^2 to 10^-1 and continues decreasing monotonically; energy oscillations are small and bounded; no sign of divergence,,True,,4.208063125610352,8,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,"Energy monotonically decreasing since step 12, rms(c) dropping consistently from 10.5 to 0.0786, dE and d eps showing steady convergence trends",,True,,4.313113451004028,8,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Energy monotonically decreasing since step 13, rms(c) decreasing from 12.4 to 0.121, showing clear convergence trend",,True,,4.715782642364502,8,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,"Energy drift has stopped, rms(c) is monotonically decreasing below 0.3 and still falling steadily after 50 steps, indicating stable convergence toward electronic self-consistency.",,True,,4.725341558456421,8,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1,"Energy oscillations decreasing, rms(c) dropping from 10.6 to 1.05, last 10 steps show monotonic energy decrease with small dE values (-0.13 to -0.32 eV)",,True,,8.407247066497803,8,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Energy oscillations have dampened significantly (dE < 0.02 eV), rms(c) decreasing monotonically from 10.5 to 0.279, showing stable convergence behavior typical of successful SCF cycles.",,True,,6.458194255828857,8,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1,"Energy oscillations decreasing, rms(c) consistently dropping from 10.5 to 0.22, showing stable convergence trend",,True,,4.622788190841675,8,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"Energy oscillations decreasing, rms(c) dropping consistently from 10.6 to 0.254, showing clear convergence trend despite initial instability",,True,,4.005669355392456,8,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"Energy oscillations have dampened significantly (last 10 steps show <0.01 eV changes), rms(c) consistently decreasing toward 0.1 threshold, and dE values approaching convergence criteria",,True,,5.026389122009277,8,50,True
