filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,"Strong amplitude damping in rms(c) from 12.5→0.25 with clear downward trend despite dE oscillations, following damped oscillatory convergence pattern",,True,,7.041119575500488,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"Strong amplitude damping in rms(c) from 1.47E+02 peak to 2.5-2.7E-01 range with clear downward trend despite dE oscillations, following damped oscillatory convergence pattern",,True,,7.178022861480713,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"After initial chaotic steps 1-12, rms(c) shows clear amplitude damping from 12.2→6.8→4.7→2.2→1.6→0.8→0.4→0.2→0.1→0.076→0.065 with consistent downward trend, meeting golden rule for damped oscillatory convergence",,True,,7.487850189208984,8,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Clear convergence: dE and rms(c) both show monotonic decrease from large oscillations (dE ~1E+03, rms(c) 1.24E+01) to small values (dE <1E-03, rms(c) 1.19E-02) with no amplitude maintenance - textbook damped convergence pattern",,True,,6.8700034618377686,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"Clear divergence with rms(c) stagnating at 1.7-1.8 range for last 20+ steps showing no decreasing trend, while dE continues to oscillate with high amplitude - textbook Case Study 4 pattern",,True,,5.6405768394470215,9,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"Strong amplitude damping in rms(c) from 12.6→0.134 with decreasing oscillation magnitude; dE oscillations persist but macro-trend downward and oscillation amplitude clearly diminishing - classic ""fighter"" pattern per Case Study 2",,True,,7.183323860168457,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Clear convergence pattern: rms(c) shows steady decrease from 10.5 to 0.0118 with no oscillations, dE decreases monotonically to 7.89E-04, both reaching convergence thresholds",,True,,6.256171941757202,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,"Strong amplitude damping in rms(c) from 1.24E+01 to 4.74E-02 with clear downward macro-trend despite dE oscillations, satisfying the Golden Rule for damped oscillatory convergence",,True,,5.750460386276245,8,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Clear damped oscillatory convergence: rms(c) shows strong amplitude damping from 12.4→1.2→0.46 with consistent downward trend despite dE oscillations, following Case Study 2 pattern",,True,,4.613098621368408,8,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,"Clear amplitude damping in rms(c) from 12.3 to 0.06-0.07 range with consistent downward trend despite dE oscillations, following damped oscillatory convergence pattern",,True,,5.644737482070923,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"rms(c) shows pseudo-convergence pattern: oscillates between 1.9-2.2 with no clear downward trend and maintained high amplitude, while dE remains erratic with values 0.5-1.2, indicating divergence",,True,,6.260164737701416,8,50,True
