filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,Strong macro-trend of rms(c) decreasing from 10.5 to 0.25 over 38 steps despite dE oscillations; rms(c) still slowly dropping at step 50 indicating eventual convergence,,True,,8.933884859085083,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,"rms(c) macro-trend steadily decreases from 10.5 to 0.26 over last 38 steps despite dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.9548273086547852,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady downward macro-trend from 12.2 to 0.065, following the Golden Rule for ""fighting"" calculations",,True,,2.2662839889526367,8,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,"Clear monotonic decrease in both dE and rms(c) from step 12 onward, with rms(c) dropping from 10.6 to 1.19 and dE reaching 1e-4 level, matching textbook convergence pattern",,True,,1.9514718055725098,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,"dE oscillates and rms(c) stagnates at 1.7-1.8 with no downward trend since step 45, violating the golden rule",,True,,4.4114179611206055,9,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,"After initial violent oscillations (steps 12-18) rms(c) shows steady downward macro-trend from 12.6→0.13 while dE also damps, satisfying the Golden Rule",,True,,1.9593956470489502,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Clear monotonic decrease in rms(c) from 12.2 to 1.18E-02 and dE from >1000 to <1E-03, both reaching convergence thresholds",,True,,1.9511933326721191,9,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,Strong downward macro-trend in rms(c) from 10.5 to 0.47 despite dE oscillations; tie-breaker rule satisfied,,True,,1.957885503768921,8,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady downward macro-trend from 12.4 to 0.46, following the Golden Rule for ""fighting"" calculations",,True,,1.6492621898651123,8,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,Strong downward macro-trend in rms(c) from 10.6 to 0.06 despite dE oscillations; follows Expert's Tie-Breaker Rule,,True,,1.7544300556182861,8,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,"rms(c) stagnates around 2.0 for 20+ steps with no downward macro-trend despite dE oscillations, violating the golden rule",,True,,1.8548495769500732,8,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Strong macro-trend of rms(c) decreasing from 12.6 to 0.177 despite early dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.6468479633331299,8,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,1,"Strong macro-trend of rms(c) decreasing from ~12 to 0.4 despite large dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.6469306945800781,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,"Clear monotonic decrease in rms(c) from 10.5 to 0.03 and dE from 1E3 to 1E-3, both reaching convergence thresholds",,True,,1.6567699909210205,9,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,1,"Strong macro-trend of rms(c) decreasing from ~12 to 0.16 over steps 13-50 despite dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.9522113800048828,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,1,"Strong macro-trend of rms(c) decreasing from ~12 to 1.8 despite large dE oscillations, following the Expert's Tie-Breaker Rule",,True,,1.645097255706787,7,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,1,"Despite large dE oscillations after step 12, rms(c) shows clear downward macro-trend from 12.6 to 0.217, following the Expert's Tie-Breaker Rule",,True,,4.724733352661133,7,50,True
vasp-data-files/111100110011000100101100/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from ~12 to 0.4 despite late-stage dE oscillations; satisfies Expert's Tie-Breaker Rule,,True,,2.262524127960205,8,50,True
vasp-data-files/111101001101110110100010/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady downward trend from 12.1 to 0.26, following Expert's Tie-Breaker Rule",,True,,1.9549665451049805,9,50,True
vasp-data-files/111110000101010000100000/OSZICAR,0,50,1,"Despite dE oscillations after step 30, rms(c) shows clear downward macro-trend from 1.37E+01 to 1.63E-01 over steps 30-50, satisfying the Expert's Tie-Breaker Rule",,True,,1.9519453048706055,7,50,True
vasp-data-files/101000010100011110000010/OSZICAR,1,50,1,Strong downward macro-trend in rms(c) from 12.5 to 0.78 despite earlier oscillations; dE also stabilizing below 1E-3,,True,,5.0317370891571045,8,50,True
vasp-data-files/101110000000110110100000/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady downward macro-trend from 12.4 to 1.21 indicating convergence",,True,,1.7549207210540771,8,50,True
vasp-data-files/111000011100111110100100/OSZICAR,1,50,1,Strong macro-trend of rms(c) decreasing from ~12 to 0.27 despite dE oscillations; tie-breaker rule satisfied,,True,,2.1602323055267334,7,50,True
vasp-data-files/100100110010001101011001/OSZICAR,0,50,1,"Strong macro-trend of rms(c) decreasing from ~12 to 1.0 despite dE oscillations, following the Golden Rule",,True,,1.9492416381835938,7,50,True
vasp-data-files/100001111010000001010101/OSZICAR,0,50,1,"Despite early dE oscillations, rms(c) shows steady downward macro-trend from 12.2 to 0.28, following the Golden Rule",,True,,1.959327220916748,8,50,True
vasp-data-files/111110000100111110100000/OSZICAR,1,50,1,"rms(c) shows steady downward macro-trend from 12.2 to 0.22 despite early dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.9574027061462402,8,50,True
vasp-data-files/100001010111110011101110/OSZICAR,0,50,1,"Strong oscillations in dE after step 12 but macro-trend of rms(c) steadily decreases from 12.6 to 2.5, tie-breaker rule applies",,True,,1.9541828632354736,7,50,True
vasp-data-files/100000010110101010101001/OSZICAR,1,50,1,"rms(c) shows clear downward macro-trend from 12.4 to 1.45 despite late-stage dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,1.9588885307312012,8,50,True
vasp-data-files/101101001111110011100001/OSZICAR,1,50,1,"After step 12 dE oscillates but macro-trend of rms(c) steadily drops from 12.3 to 0.3, satisfying the golden rule for a ""fighter"" that will converge",,True,,1.9533870220184326,8,50,True
vasp-data-files/111100010101111011110101/OSZICAR,0,50,1,Strong oscillations in dE after step 12 but macro-trend of rms(c) steadily decreases from 12.7 to 12.6 indicating damping and eventual convergence,,True,,1.9534757137298584,7,50,True
vasp-data-files/101101010101111111101100/OSZICAR,1,50,1,"After step 13 dE oscillates but macro-trend of rms(c) steadily drops from 12.7 to 1.1, satisfying the golden rule for eventual convergence",,True,,1.960503101348877,8,50,True
vasp-data-files/100011101110110010111111/OSZICAR,1,50,1,"After step 13 dE oscillates but macro-trend of rms(c) steadily drops from 13.2 to 0.7, satisfying the golden rule for a ""fighter"" that will converge",,True,,1.6472656726837158,8,50,True
vasp-data-files/101111000100111110100000/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady downward macro-trend from 12.3 to 1.16 indicating convergence",,True,,1.6481750011444092,8,50,True
vasp-data-files/101011010100110010100100/OSZICAR,0,50,1,"Strong macro-trend of rms(c) decreasing from ~12 to 0.8 despite large dE oscillations, satisfying Expert's Tie-Breaker Rule",,True,,2.877652883529663,7,50,True
vasp-data-files/110100001110001101011001/OSZICAR,0,50,1,"Despite late-stage dE oscillations, rms(c) macro-trend is steadily downward from 0.12 to 0.06 over last 30 steps, satisfying the Golden Rule",,True,,1.6461644172668457,7,50,True
vasp-data-files/100100111111011001010111/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from ~14 to ~0.8 despite late-stage oscillations; dE noisy but rms(c) rule indicates convergence,,True,,1.6518664360046387,7,50,True
vasp-data-files/100001011101111010001100/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from ~12 to 0.2 despite dE oscillations; follows Expert's Tie-Breaker Rule,,True,,1.6495022773742676,7,50,True
vasp-data-files/101110010100111011000100/OSZICAR,1,50,1,"Despite late-stage dE oscillations, rms(c) shows steady downward macro-trend from 0.124E+02 to 0.538E-01, satisfying the Expert's Tie-Breaker Rule",,True,,1.655451774597168,8,50,True
vasp-data-files/110100001101111100101000/OSZICAR,1,50,1,Strong downward macro-trend in rms(c) from 12.3 to 0.6 despite dE oscillations; tie-breaker rule satisfied,,True,,1.6434540748596191,8,50,True
vasp-data-files/101110000000011100100000/OSZICAR,1,50,1,"Clear monotonic decrease in rms(c) from 12.1 to 0.29 and dE from 1E+3 to 3E-4, both reaching convergence thresholds",,True,,8.40241026878357,9,50,True
vasp-data-files/111100000100111110100000/OSZICAR,1,50,1,"Strong downward macro-trend in rms(c) from 12 to 0.06 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,2.577709913253784,8,50,True
vasp-data-files/111000010000110111111010/OSZICAR,1,50,1,Strong downward macro-trend in rms(c) from 12.3 to 0.4 despite early dE chaos; last 20 steps show steady decay and dE stabilizing below 1E-02,,True,,2.875715970993042,8,50,True
vasp-data-files/101101000101011110111100/OSZICAR,1,50,1,"After initial chaos, rms(c) shows steady downward macro-trend from 12.3 to 0.3 while dE oscillations dampen, satisfying the Golden Rule",,True,,3.801382541656494,8,50,True
vasp-data-files/111100000101111100101000/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from 12.2 to 0.69 despite late-stage dE oscillations; tie-breaker rule satisfied,,True,,1.6479628086090088,7,50,True
vasp-data-files/100001110010011010011111/OSZICAR,1,50,1,Strong macro-trend of rms(c) decreasing from 12.5 to 0.42 despite dE oscillations; tie-breaker rule satisfied,,True,,1.6467044353485107,8,50,True
vasp-data-files/100001110000110000100010/OSZICAR,1,50,1,"Despite early dE oscillations, rms(c) shows steady monotonic decrease from 10.5 to 0.014, meeting the Golden Rule for convergence",,True,,1.650400161743164,9,50,True
vasp-data-files/110101101100111101010011/OSZICAR,1,50,1,"After initial chaos, rms(c) shows steady downward macro-trend from 12.6 to 0.46 while dE oscillations dampen, satisfying the Golden Rule",,True,,1.6024219989776611,8,50,True
vasp-data-files/101001110010000111111111/OSZICAR,1,50,1,"Strong macro-trend of rms(c) decreasing from 12.8 to 2.3 despite dE oscillations, following Expert's Tie-Breaker Rule",,True,,1.690866470336914,8,50,True
vasp-data-files/101011010111111010100100/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from 12.3 to 0.69 despite late-stage dE oscillations; tie-breaker rule satisfied,,True,,1.9582312107086182,7,50,True
vasp-data-files/111110000101110010010000/OSZICAR,0,50,1,Strong macro-trend of rms(c) decreasing from ~12 to 0.26 despite dE oscillations; follows Expert's Tie-Breaker Rule,,True,,1.7538182735443115,7,50,True
