filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,50,0,"Fluctuations in dE and d eps with values not approaching convergence thresholds, indicating divergence",,True,,3.66524338722229,7,50,True
vasp-data-files/111110000100010000011110/OSZICAR,1,50,0,Significant fluctuations in dE and d eps with values not approaching convergence thresholds indicating divergence,,True,,1.6452534198760986,7,50,True
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,"Clear decreasing trend in dE and d eps, approaching convergence criteria, with minor fluctuations in later steps.",,True,,1.64829421043396,7,50,True
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,Strong consistent decrease in dE and d eps reaching convergence criteria by step 50,,True,,1.344285011291504,9,50,True
vasp-data-files/101101000101010011100011/OSZICAR,0,50,0,Significant instability with large dE fluctuations far from convergence threshold indicating divergence,,True,,1.957395315170288,8,50,True
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,Clear decreasing trend in dE and d eps approaching convergence criteria with minor fluctuations in later steps,,True,,1.6479761600494385,8,50,True
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,"Clear decreasing trend in dE and d eps, approaching convergence criteria with small fluctuations in rms and rms(c)",,True,,1.9545469284057617,8,50,True
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,Clear decreasing trend in dE and d eps approaching convergence criteria with minor fluctuations in later steps,,True,,1.6506824493408203,7,50,True
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,"Clear decreasing trend in dE and d eps, approaching convergence criteria, though some minor fluctuations observed in later steps.",,True,,1.575676441192627,7,50,True
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,Clear decreasing trend in dE and d eps approaching convergence criteria with minor fluctuations in later steps,,True,,1.7231571674346924,7,50,True
vasp-data-files/110000011100111100000000/OSZICAR,0,50,0,Significant fluctuations in dE and lack of clear convergence in d eps and rms values indicating divergence,,True,,1.6541781425476074,7,50,True
vasp-data-files/101011010101110010111110/OSZICAR,1,50,1,"Clear decreasing trends in dE and d eps, approaching convergence criteria with minor fluctuations in later steps",,True,,1.6435823440551758,8,50,True
vasp-data-files/101110111010110011001111/OSZICAR,0,50,0,Significant fluctuations in dE and d eps with values not approaching convergence thresholds indicating divergence,,True,,1.9575769901275635,7,50,True
vasp-data-files/101100000000101101100000/OSZICAR,1,50,1,Clear decreasing trend in dE and d eps approaching convergence criteria with minor fluctuations in later steps,,True,,1.6484720706939697,8,50,True
vasp-data-files/101101010101101011001000/OSZICAR,1,50,0,Significant fluctuations in dE and high values of rms and rms(c) suggest divergence,,True,,1.6469876766204834,7,50,True
vasp-data-files/101111010100110000100100/OSZICAR,0,50,0,Fluctuating dE and large d eps values with no clear trend towards convergence thresholds indicating potential divergence,,True,,1.6482510566711426,6,50,True
vasp-data-files/111111011101110001001010/OSZICAR,1,50,0,Significant fluctuations in dE and large values in rms and d eps indicating divergence,,True,,1.652299404144287,7,50,True
