filepath,true_label,total_steps,final_confidence,final_reasoning,status,predicted_at_steps,energy_of_predicted_steps,energy_of_total_steps,prediction_error/Hartree =energy_of_predicted_steps-energy_of_total_steps
vasp-data-files/101001010001001101100100/OSZICAR,1,172,8,"rms(c) stagnates at ~0.25 after step 38 showing no further decrease, dE remains oscillatory with no clear convergence trend",Kill,50,-3.70E+02,-3.72E+02,2.10E+00
vasp-data-files/111110000100010000011110/OSZICAR,1,116,7,"rms(c) stagnates around 0.22-0.27 after step 40 showing no clear downward macro-trend despite dE oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.70E+02,-3.71E+02,4.96E-01
vasp-data-files/111010000101010010101110/OSZICAR,1,120,8,"rms(c) stagnates at ~0.83-0.84 after step 47 with no downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,-3.70E+02,-3.74E+02,3.61E+00
vasp-data-files/101100010110110001010100/OSZICAR,1,188,8,"rms(c) stagnates around 2.6-2.8 with no downward trend after step 12, and dE shows persistent large oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.58E+02,-3.74E+02,1.60E+01
vasp-data-files/111110001100010000111110/OSZICAR,1,191,7,"rms(c) stagnates around 0.20-0.24 after step 40 showing no clear downward macro-trend, dE remains oscillatory with no convergence to small values",Kill,75,-3.74E+02,-3.74E+02,2.05E-01
vasp-data-files/100000110100111111010001/OSZICAR,1,184,8,"rms(c) stagnates around 1.0 with no downward trend after step 32, and dE shows persistent oscillations without convergence",Kill,50,-3.72E+02,-3.74E+02,1.45E+00
vasp-data-files/101111000100111010100011/OSZICAR,1,109,7,"rms(c) shows no clear downward trend, stagnating around 0.3-0.4 after initial decrease, with dE remaining large and oscillatory",Kill,50,-3.73E+02,-3.74E+02,9.57E-01
vasp-data-files/101100110110100100000001/OSZICAR,1,180,8,"rms(c) shows no consistent downward trend, stagnating around 11-13 after initial decrease, with dE remaining large and oscillatory",Kill,50,-3.71E+02,-3.73E+02,2.57E+00
vasp-data-files/100011011101001010011111/OSZICAR,1,186,8,"rms(c) stagnates around 1.7 with no decreasing trend despite dE oscillations, following Expert Tie-Breaker Rule for divergence",Kill,50,-3.68E+02,-3.74E+02,5.36E+00
vasp-data-files/111111000101000100110110/OSZICAR,1,131,7,"rms(c) shows no consistent downward trend, oscillating between 1.0-1.5 in later steps with no progress below 0.42, indicating stagnation per Expert Tie-Breaker Rule",Kill,50,-3.67E+02,-3.74E+02,6.25E+00
vasp-data-files/111100000101010110100001/OSZICAR,1,144,7,"rms(c) shows no clear downward trend after step 25, stagnating around 0.2 with oscillations, while dE remains high and oscillatory indicating divergence",Kill,50,-3.73E+02,-3.74E+02,4.93E-01
vasp-data-files/101101000111110010100010/OSZICAR,1,85,7,"rms(c) stagnates around 0.5 after step 40 with no clear downward trend, and dE continues oscillating without reaching convergence thresholds",Kill,50,-3.73E+02,-3.74E+02,2.42E-02
vasp-data-files/100010001001111100101001/OSZICAR,1,176,8,"rms(c) stagnates at 1.8-2.1 with no decreasing trend after step 12, and dE shows persistent oscillations without approaching convergence thresholds",Kill,50,-3.66E+02,-3.72E+02,5.35E+00
vasp-data-files/100011110011111010000110/OSZICAR,1,141,8,"rms(c) shows clear upward trend from 0.106E+02 to 0.472E+00 with no sustained decrease, indicating divergence according to Expert Tie-Breaker Rule despite some dE oscillation",Kill,50,-3.74E+02,-3.74E+02,9.46E-02
vasp-data-files/101001001100111011000101/OSZICAR,1,117,7,"rms(c) stagnates around 0.02 after step 45 and shows no clear downward trend in final steps, while dE exhibits persistent oscillations above convergence threshold",Kill,50,-3.72E+02,-3.72E+02,-3.90E-03
vasp-data-files/100000001110011101010111/OSZICAR,1,78,7,"rms(c) stagnates at ~0.0124-0.0126 in final steps with no decreasing trend, indicating divergence despite some dE oscillation damping",Kill,50,-3.73E+02,-3.73E+02,-1.02E-02
vasp-data-files/100011110011111010100110/OSZICAR,1,144,7,"rms(c) stagnates around 0.2-0.3 after step 60 and shows no clear downward macro-trend in final 40 steps, indicating divergence despite some dE oscillations",Kill,100,-3.73E+02,-3.73E+02,1.72E-02
vasp-data-files/101100000101010001101100/OSZICAR,1,142,7,"rms(c) oscillates between 0.9-1.06 without clear downward trend after step 30, indicating stagnation per Expert Tie-Breaker Rule",Kill,50,-3.73E+02,-3.74E+02,9.11E-01
vasp-data-files/110101000101000011111110/OSZICAR,1,149,8,"rms(c) shows no decreasing macro-trend, stagnating around 1.2-1.5 after initial drop, with dE oscillations indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.73E+02,-3.74E+02,7.84E-01
vasp-data-files/110000011100011000001011/OSZICAR,1,131,7,"rms(c) stagnates around 0.35 after step 33 showing no clear downward macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,-3.73E+02,-3.73E+02,1.34E-01
vasp-data-files/101000001110001111010111/OSZICAR,1,125,7,"rms(c) stagnates around 0.35-0.40 after step 33 showing no clear downward macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,-3.72E+02,-3.72E+02,7.50E-02
vasp-data-files/101010010101111010100110/OSZICAR,1,171,8,"rms(c) shows no clear downward trend, stagnating around 11-20 with no sustained decrease, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.67E+02,-3.74E+02,6.54E+00
vasp-data-files/101110000101110011000100/OSZICAR,1,186,8,"rms(c) stagnates around 22.0-23.4 with no decreasing trend after step 12, and dE shows persistent oscillations without convergence",Kill,50,-3.57E+02,-3.74E+02,1.62E+01
vasp-data-files/110111100001000100111111/OSZICAR,1,160,7,"rms(c) stagnates around 0.3-0.4 after step 40 with no clear downward trend, and dE oscillations persist without damping significantly",Kill,75,-3.73E+02,-3.73E+02,3.17E-01
vasp-data-files/111010101111100011110111/OSZICAR,1,119,7,"rms(c) stagnates around 0.35-0.42 after step 40 with no clear downward trend, and dE remains oscillatory without significant reduction, indicating divergence according to tie-breaker rule",Kill,50,-3.73E+02,-3.73E+02,4.62E-01
vasp-data-files/110101101100011001010011/OSZICAR,1,156,7,"rms(c) shows no consistent downward trend, stagnating and even increasing from 0.275E+00 to 0.657E+00 in final steps, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.72E+02,-3.73E+02,8.60E-01
vasp-data-files/110110101000101111100011/OSZICAR,1,197,7,"rms(c) shows no clear downward macro-trend, oscillating between 0.9-3.7 without sustained decrease, indicating stagnation and divergence despite some dE oscillations",Kill,75,-3.73E+02,-3.73E+02,1.66E-01
vasp-data-files/111110000100111010101010/OSZICAR,1,141,7,"rms(c) shows no clear downward trend after step 30, stagnating around 0.13-0.23 with oscillations, while dE remains too large for convergence",Kill,50,-3.70E+02,-3.70E+02,4.56E-01
vasp-data-files/101101000100001011000011/OSZICAR,1,168,8,"rms(c) shows no decreasing macro-trend, stagnating around 2.5-3.3 with no sustained downward progression, indicating divergence despite some dE oscillations",Kill,50,-3.67E+02,-3.73E+02,6.25E+00
vasp-data-files/110110000011010000111100/OSZICAR,1,126,7,"rms(c) stagnates around 0.48-0.52 in final 10 steps with no clear downward trend, and dE shows persistent oscillations without consistent decrease",Kill,50,-3.71E+02,-3.73E+02,2.71E+00
vasp-data-files/110110101000111110101001/OSZICAR,1,127,7,"rms(c) shows no consistent downward trend, oscillating between 0.1-5.2 without sustained decrease, indicating stagnation per Expert Tie-Breaker Rule",Kill,75,-3.73E+02,-3.73E+02,-1.00E-02
vasp-data-files/110111101101001000111100/OSZICAR,1,148,7,"rms(c) stagnates at 0.236-0.240 after step 46 showing no decreasing trend, dE remains oscillatory with no convergence to small values",Kill,50,-3.73E+02,-3.73E+02,6.82E-01
vasp-data-files/101001010101111010100100/OSZICAR,1,138,7,"rms(c) stagnates at 0.12 after step 47 showing no further decrease, while dE remains oscillatory with no clear convergence trend",Kill,50,-3.74E+02,-3.74E+02,8.33E-02
vasp-data-files/110110111001001000110010/OSZICAR,1,117,8,"rms(c) shows no consistent downward trend, stagnating around 1.4-1.7 after step 25 with persistent high dE oscillations indicating divergence",Kill,50,-3.71E+02,-3.73E+02,1.84E+00
vasp-data-files/101011110000111110100101/OSZICAR,1,133,7,"rms(c) shows no consistent downward trend, stagnating around 1.3E+01 after initial drop, with dE remaining large and oscillatory",Kill,50,-3.70E+02,-3.74E+02,4.00E+00
vasp-data-files/101010010100111110100100/OSZICAR,1,175,8,"rms(c) stagnates at 1.8-1.85 with no downward trend after step 20, and dE continues oscillating without approaching convergence thresholds",Kill,50,-3.65E+02,-3.73E+02,8.62E+00
vasp-data-files/101001010111000011111111/OSZICAR,1,152,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.4-1.1 after initial drop, with dE remaining large and oscillatory",Kill,50,-3.73E+02,-3.74E+02,1.34E+00
vasp-data-files/110100001000111000000001/OSZICAR,1,121,8,"rms(c) shows no consistent downward trend, stagnating around 0.6-1.0 in later steps with recent spike to 1.05, while dE remains oscillatory with large jumps",Kill,100,-3.72E+02,-3.72E+02,6.07E-02
vasp-data-files/101001010001000010111110/OSZICAR,1,161,7,"rms(c) stagnates around 0.7-0.9 after step 40 with no clear downward macro-trend, and dE remains oscillatory with large magnitudes",Kill,50,-3.72E+02,-3.74E+02,1.63E+00
vasp-data-files/100110101010000101011001/OSZICAR,1,123,7,"rms(c) stagnates at ~0.15-0.16 after step 43 showing no decreasing trend despite dE becoming small, indicating charge density is not converging",Kill,50,-3.73E+02,-3.73E+02,6.62E-02
vasp-data-files/111110000110110000100000/OSZICAR,1,96,8,"rms(c) stagnates at ~0.022-0.023 after step 40 showing no overall decreasing trend despite dE oscillations, indicating divergence according to Expert's Tie-Breaker Rule",Kill,50,-3.72E+02,-3.72E+02,-2.41E-03
vasp-data-files/100001110100101101010001/OSZICAR,1,196,8,"rms(c) stagnates around 1.5 with no clear downward trend after step 50, and dE continues oscillating significantly, indicating divergence according to Expert Tie-Breaker Rule",Kill,75,-3.73E+02,-3.73E+02,-8.55E-02
vasp-data-files/101100010110111010000011/OSZICAR,1,181,7,"rms(c) shows no clear downward macro-trend, stagnating around 4-6 after initial drop from 12, with dE remaining large and oscillatory",Kill,50,-3.72E+02,-3.73E+02,6.55E-01
vasp-data-files/100000111001001001011111/OSZICAR,1,137,7,"rms(c) shows no clear downward macro-trend, oscillating between 0.2-1.0 without sustained decrease, indicating stagnation per Expert Tie-Breaker Rule",Kill,75,-3.73E+02,-3.74E+02,8.05E-02
vasp-data-files/111110010100111110100100/OSZICAR,1,197,7,"rms(c) stagnates around 3.0-3.3 after step 41 showing no decreasing macro-trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,-3.73E+02,-3.73E+02,7.70E-02
vasp-data-files/101100000000101101100001/OSZICAR,1,181,7,"rms(c) shows no clear downward trend, stagnating around 8.6-10.8 with oscillations, indicating divergence despite some dE reduction",Kill,50,-3.72E+02,-3.73E+02,3.94E-01
vasp-data-files/111010001100100111110110/OSZICAR,1,153,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.1-0.7 after initial improvement, while dE oscillates persistently without reaching convergence thresholds",Kill,100,-3.73E+02,-3.73E+02,4.41E-02
vasp-data-files/100110101011000001111111/OSZICAR,1,167,8,"rms(c) shows no overall decreasing trend, stagnating around 1.0-1.2 after initial improvement, with dE remaining large and oscillatory",Kill,50,-3.72E+02,-3.74E+02,1.08E+00
vasp-data-files/111001110011110001010100/OSZICAR,1,64,8,"rms(c) stagnates at ~0.02 after step 32 showing no further downward trend, combined with persistent dE oscillations indicating divergence",Kill,50,-3.73E+02,-3.73E+02,5.46E-03
vasp-data-files/100110101011000101111111/OSZICAR,1,142,8,"rms(c) shows no consistent downward trend, stagnating around 1.0-1.8 after initial drop, with dE remaining large and oscillatory",Kill,50,-3.70E+02,-3.73E+02,2.42E+00
vasp-data-files/111101001101010100100000/OSZICAR,1,136,7,"rms(c) stagnates around 0.2-0.29 after step 32 with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,-3.74E+02,-3.74E+02,9.73E-03
vasp-data-files/111101011101111001001000/OSZICAR,1,167,8,"rms(c) shows no overall decreasing trend, stagnating around 9-10 after initial drop from 124, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.68E+02,-3.73E+02,5.25E+00
vasp-data-files/100010111010001101011111/OSZICAR,1,145,8,"rms(c) stagnates at high values (21-25) with no overall decreasing trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,-3.67E+02,-3.73E+02,6.13E+00
vasp-data-files/110101110010001101011001/OSZICAR,1,145,7,"rms(c) oscillates between 0.6-0.7 without clear downward trend after step 30, indicating stagnation despite some dE fluctuations",Kill,75,-3.73E+02,-3.74E+02,4.37E-01
vasp-data-files/101001100101000010111111/OSZICAR,1,142,7,"rms(c) stagnates at high values (1.5-2.3) after step 60 with no clear downward macro-trend, indicating divergence despite some dE oscillations",Kill,125,-3.73E+02,-3.73E+02,-3.53E-03
vasp-data-files/101001010101111110100100/OSZICAR,1,79,7,"rms(c) shows no clear downward macro-trend, stagnating around 0.2-0.6 after initial improvement, with dE remaining too high and oscillatory",Kill,50,-3.74E+02,-3.74E+02,4.05E-02
vasp-data-files/110100110011001101111001/OSZICAR,1,136,7,"rms(c) stagnates at ~0.10 after step 30 showing no decreasing trend, dE oscillates without reaching convergence threshold, consistent with divergence pattern",Kill,50,-3.73E+02,-3.73E+02,6.09E-02
vasp-data-files/101011110001111111100100/OSZICAR,1,196,7,"rms(c) shows no consistent downward trend, stagnating around 9-11 after initial improvement, with dE remaining high and oscillating",Kill,50,-3.72E+02,-3.74E+02,1.29E+00
vasp-data-files/111110001100010000100010/OSZICAR,1,181,7,"rms(c) shows no clear downward trend, stagnating around 0.9-1.5 after initial drop, with dE oscillations persisting at high magnitude",Kill,50,-3.74E+02,-3.74E+02,3.06E-01
vasp-data-files/111100000111000001010110/OSZICAR,1,164,8,"rms(c) shows no consistent downward trend, stagnating around 1.5-2.5 with final increase to 1.84, while dE exhibits large persistent oscillations indicating divergence",Kill,50,-3.69E+02,-3.72E+02,3.07E+00
vasp-data-files/100111100010001100011001/OSZICAR,1,130,7,"rms(c) stagnates around 0.17-0.19 in final 10 steps with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,-3.73E+02,-3.74E+02,1.65E-01
vasp-data-files/101111100110001111111101/OSZICAR,1,171,8,"rms(c) stagnates at high values (9.4-15.9) with no clear downward trend after step 30, and dE shows persistent large oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.71E+02,-3.73E+02,2.12E+00
vasp-data-files/111110000001011110100000/OSZICAR,1,113,7,"rms(c) stagnates at ~0.107 after step 39 showing no decreasing trend despite dE oscillations, indicating divergence per Expert Tie-Breaker Rule",Kill,50,-3.74E+02,-3.74E+02,6.55E-02
vasp-data-files/101110000101000001101111/OSZICAR,1,142,7,"rms(c) stagnates around 0.45 after step 35 with no clear downward trend, and dE shows persistent oscillations without reaching convergence thresholds",Kill,50,-3.74E+02,-3.74E+02,-9.63E-03
vasp-data-files/101111010101010001101100/OSZICAR,1,74,7,"rms(c) shows no clear downward trend in later steps (oscillates between 0.7E-01 and 0.126E+00 from step 25-50) and dE remains oscillatory, indicating stagnation per Expert Tie-Breaker Rule",Kill,50,-3.73E+02,-3.74E+02,8.28E-02
vasp-data-files/111110000100111010100000/OSZICAR,1,108,7,"rms(c) shows no consistent downward trend after step 33, stagnating around 0.37-0.48 with recent increase to 0.72, indicating divergence despite some dE improvement",Kill,50,-3.74E+02,-3.74E+02,1.06E-01
vasp-data-files/101100010101110001100100/OSZICAR,1,198,8,"rms(c) shows no consistent downward trend, stagnating around 2.5-2.7 after step 33 with persistent high oscillations, indicating divergence according to Expert Tie-Breaker Rule",Kill,50,-3.70E+02,-3.72E+02,1.73E+00
