filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps,rule_details,rule_score
vasp-data-files/101001010001001101100100/OSZICAR,1,50,1,很可能收敛(得分=0.765)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.000)，当前dE=7.39e-05很小; 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.000); 震荡检测规则: 严重震荡(比例=0.50),,True,,0.001683950424194336,7,50,True,"{""能量收敛趋势规则"": {""score"": 0.8999999999999999, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.000)，当前dE=7.39e-05很小""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.000)""}, ""震荡检测规则"": {""score"": 0.0, ""weight"": 0.15, ""reason"": ""严重震荡(比例=0.50)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=7.39e-05<6e-03, rms=1.61e-03<7e-02)""}}",0.765
vasp-data-files/111110000100010000011110/OSZICAR,1,50,1,可能收敛(得分=0.595)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.001); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.000); 震荡检测规则: 严重震荡(比例=0.75),,True,,0.0007197856903076172,5,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.001)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.000)""}, ""震荡检测规则"": {""score"": 0.0, ""weight"": 0.15, ""reason"": ""严重震荡(比例=0.75)""}, ""收敛阈值规则"": {""score"": 0.7, ""weight"": 0.4, ""reason"": ""电荷密度已收敛(rms=2.56e-02<7e-02)，但能量未收敛(dE=2.31e-02)""}}",0.595
vasp-data-files/100100001110011011011111/OSZICAR,1,50,1,很可能收敛(得分=0.790)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.001); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.000); 震荡检测规则: 存在一定震荡(比例=0.25),,True,,0.000728607177734375,7,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.001)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.000)""}, ""震荡检测规则"": {""score"": 0.5, ""weight"": 0.15, ""reason"": ""存在一定震荡(比例=0.25)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=2.54e-04<6e-03, rms=4.24e-03<7e-02)""}}",0.79
vasp-data-files/111010110111111111000001/OSZICAR,1,50,1,很可能收敛(得分=0.765)。详细: 能量收敛趋势规则: 能量变化趋势不明确(trend_score=-0.000); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.000); 震荡检测规则: 震荡轻微(比例=0.12),,True,,0.0007140636444091797,7,50,True,"{""能量收敛趋势规则"": {""score"": 0.3, ""weight"": 0.25, ""reason"": ""能量变化趋势不明确(trend_score=-0.000)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.000)""}, ""震荡检测规则"": {""score"": 1.0, ""weight"": 0.15, ""reason"": ""震荡轻微(比例=0.12)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=1.23e-04<6e-03, rms=1.34e-03<7e-02)""}}",0.765
vasp-data-files/101101000101010011100011/OSZICAR,0,50,1,可能收敛(得分=0.595)。详细: 能量收敛趋势规则: 能量变化呈轻微下降趋势(trend_score=0.020); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.004); 震荡检测规则: 严重震荡(比例=0.62),,True,,0.0007083415985107422,5,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微下降趋势(trend_score=0.020)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.004)""}, ""震荡检测规则"": {""score"": 0.0, ""weight"": 0.15, ""reason"": ""严重震荡(比例=0.62)""}, ""收敛阈值规则"": {""score"": 0.7, ""weight"": 0.4, ""reason"": ""电荷密度已收敛(rms=1.09e-02<7e-02)，但能量未收敛(dE=1.53e-02)""}}",0.595
vasp-data-files/111101100101011011110110/OSZICAR,1,50,1,很可能收敛(得分=0.710)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.001); 电荷密度收敛趋势规则: 电荷密度残差趋势不明确(trend_score=-0.000); 震荡检测规则: 存在一定震荡(比例=0.25),,True,,0.0006844997406005859,6,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.001)""}, ""电荷密度收敛趋势规则"": {""score"": 0.3, ""weight"": 0.2, ""reason"": ""电荷密度残差趋势不明确(trend_score=-0.000)""}, ""震荡检测规则"": {""score"": 0.5, ""weight"": 0.15, ""reason"": ""存在一定震荡(比例=0.25)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=3.52e-03<6e-03, rms=7.48e-03<7e-02)""}}",0.71
vasp-data-files/100010010010001011110101/OSZICAR,1,50,1,很可能收敛(得分=0.955)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.000)，当前dE=7.89e-05很小; 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.001)，当前rms=8.01e-04很小; 震荡检测规则: 震荡轻微(比例=0.12),,True,,0.0006978511810302734,9,50,True,"{""能量收敛趋势规则"": {""score"": 0.8999999999999999, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.000)，当前dE=7.89e-05很小""}, ""电荷密度收敛趋势规则"": {""score"": 0.8999999999999999, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.001)，当前rms=8.01e-04很小""}, ""震荡检测规则"": {""score"": 1.0, ""weight"": 0.15, ""reason"": ""震荡轻微(比例=0.12)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=7.89e-05<6e-03, rms=8.01e-04<7e-02)""}}",0.955
vasp-data-files/110110100000011000100100/OSZICAR,1,50,1,很可能收敛(得分=0.790)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.000); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.002); 震荡检测规则: 存在一定震荡(比例=0.38),,True,,0.0006802082061767578,7,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.000)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.002)""}, ""震荡检测规则"": {""score"": 0.5, ""weight"": 0.15, ""reason"": ""存在一定震荡(比例=0.38)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=7.33e-04<6e-03, rms=5.98e-03<7e-02)""}}",0.79
vasp-data-files/110001111011001111111001/OSZICAR,1,50,1,很可能收敛(得分=0.715)。详细: 能量收敛趋势规则: 能量变化呈轻微稳定趋势(trend_score=0.003); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.000); 震荡检测规则: 严重震荡(比例=0.62),,True,,0.0006833076477050781,6,50,True,"{""能量收敛趋势规则"": {""score"": 0.7, ""weight"": 0.25, ""reason"": ""能量变化呈轻微稳定趋势(trend_score=0.003)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.000)""}, ""震荡检测规则"": {""score"": 0.0, ""weight"": 0.15, ""reason"": ""严重震荡(比例=0.62)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=4.30e-03<6e-03, rms=7.86e-03<7e-02)""}}",0.715
vasp-data-files/100010101000001110011111/OSZICAR,1,50,1,可能收敛(得分=0.615)。详细: 能量收敛趋势规则: 能量变化趋势不明确(trend_score=-0.000); 电荷密度收敛趋势规则: 电荷密度残差呈轻微稳定趋势(trend_score=0.001); 震荡检测规则: 严重震荡(比例=0.50),,True,,0.0006756782531738281,6,50,True,"{""能量收敛趋势规则"": {""score"": 0.3, ""weight"": 0.25, ""reason"": ""能量变化趋势不明确(trend_score=-0.000)""}, ""电荷密度收敛趋势规则"": {""score"": 0.7, ""weight"": 0.2, ""reason"": ""电荷密度残差呈轻微稳定趋势(trend_score=0.001)""}, ""震荡检测规则"": {""score"": 0.0, ""weight"": 0.15, ""reason"": ""严重震荡(比例=0.50)""}, ""收敛阈值规则"": {""score"": 1.0, ""weight"": 0.4, ""reason"": ""已达到收敛标准(dE=1.47e-03<6e-03, rms=4.36e-03<7e-02)""}}",0.615
