filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101101110001000000000110/OSZICAR,0,100,0,,,True,,3.302516222000122,8,100,True
vasp-data-files/101101111110111111010001/OSZICAR,0,100,0,,,True,,2.2457003593444824,8,100,True
vasp-data-files/101101111111110011010001/OSZICAR,1,100,1,,,True,,3.065483808517456,8,100,True
vasp-data-files/101110000001100001100001/OSZICAR,0,100,0,,,True,,7.138154029846191,8,100,True
vasp-data-files/101110000100001010011000/OSZICAR,1,100,0,,,True,,2.1849849224090576,8,100,True
vasp-data-files/101110000100111110100000/OSZICAR,0,100,1,,,True,,2.192262887954712,8,100,True
vasp-data-files/101110000101000001101111/OSZICAR,1,100,0,,,True,,2.1178805828094482,8,100,True
vasp-data-files/101110000101110011000100/OSZICAR,1,100,1,,,True,,2.6362438201904297,8,100,True
vasp-data-files/101110001101010111010001/OSZICAR,0,100,0,,,True,,2.138256788253784,8,100,True
vasp-data-files/101110001110011101010011/OSZICAR,0,100,0,,,True,,2.112952709197998,8,100,True
vasp-data-files/101110010100111011000100/OSZICAR,1,100,1,,,True,,2.1449387073516846,8,100,True
vasp-data-files/101110011001010001000110/OSZICAR,0,100,0,,,True,,2.2227330207824707,8,100,True
vasp-data-files/101110101100010000111110/OSZICAR,0,100,0,,,True,,2.213813066482544,8,100,True
vasp-data-files/101110111010110011001111/OSZICAR,0,100,1,,,True,,2.2084200382232666,8,100,True
vasp-data-files/101111000001111110100000/OSZICAR,0,100,0,,,True,,2.232916831970215,8,100,True
vasp-data-files/101111000100011100100100/OSZICAR,1,100,0,,,True,,2.1331212520599365,8,100,True
vasp-data-files/101111000100111010100011/OSZICAR,1,100,1,,,True,,2.674795389175415,8,100,True
vasp-data-files/101111000110011100100100/OSZICAR,0,100,0,,,True,,2.2151691913604736,8,100,True
vasp-data-files/101111001000100011010111/OSZICAR,1,100,1,,,True,,2.181706666946411,8,100,True
vasp-data-files/101111001011100011100001/OSZICAR,1,100,0,,,True,,2.2434566020965576,8,100,True
vasp-data-files/101111001100010010100010/OSZICAR,1,100,1,,,True,,2.159679651260376,8,100,True
vasp-data-files/101111001100010011100010/OSZICAR,1,100,1,,,True,,2.087630271911621,7,100,True
vasp-data-files/101111010100110000100100/OSZICAR,0,100,0,,,True,,2.1224377155303955,8,100,True
vasp-data-files/101111010101001111101011/OSZICAR,1,100,1,,,True,,2.169426441192627,8,100,True
vasp-data-files/101111100000000011101101/OSZICAR,0,100,0,,,True,,4.124797821044922,8,100,True
vasp-data-files/101111100100111011100011/OSZICAR,1,100,1,,,True,,2.311156988143921,8,100,True
vasp-data-files/101111100101000010111111/OSZICAR,0,100,0,,,True,,2.3457841873168945,8,100,True
vasp-data-files/101111100101111000100000/OSZICAR,1,100,1,,,True,,2.41764235496521,8,100,True
vasp-data-files/101111100110001111111101/OSZICAR,1,100,0,,,True,,2.457887649536133,8,100,True
vasp-data-files/101111101101011010111100/OSZICAR,1,100,0,,,True,,2.1998963356018066,8,100,True
vasp-data-files/110000000011100101010001/OSZICAR,0,100,1,,,True,,2.6525766849517822,8,100,True
vasp-data-files/110000010011000011011001/OSZICAR,0,100,0,,,True,,2.2460477352142334,8,100,True
vasp-data-files/110000010110101101010011/OSZICAR,0,100,0,,,True,,2.213690996170044,8,100,True
vasp-data-files/110000011001000011111010/OSZICAR,1,100,0,,,True,,2.2168595790863037,7,100,True
vasp-data-files/110000011100011000001011/OSZICAR,1,100,1,,,True,,2.1863975524902344,8,100,True
vasp-data-files/110000011100111100000000/OSZICAR,0,100,0,,,True,,2.0956428050994873,8,100,True
vasp-data-files/110000101000000110101100/OSZICAR,0,100,0,,,True,,2.3043129444122314,8,100,True
vasp-data-files/110000101010001110011011/OSZICAR,0,100,0,,,True,,2.083592653274536,8,100,True
vasp-data-files/110000110001111111010001/OSZICAR,1,100,1,,,True,,2.8494174480438232,8,100,True
vasp-data-files/110000111011001111011011/OSZICAR,0,100,0,,,True,,2.736495018005371,8,100,True
vasp-data-files/110000111110100001010011/OSZICAR,0,100,0,,,True,,2.1394646167755127,8,100,True
vasp-data-files/110001000011001111101110/OSZICAR,0,100,0,,,True,,2.2207939624786377,8,100,True
vasp-data-files/110001001100001101110101/OSZICAR,0,100,0,,,True,,2.2620325088500977,8,100,True
vasp-data-files/110001010101000001010111/OSZICAR,1,100,1,,,True,,2.3876264095306396,8,100,True
vasp-data-files/110001011011111101111011/OSZICAR,1,100,1,,,True,,2.2386929988861084,8,100,True
vasp-data-files/110001101111010110111011/OSZICAR,1,100,1,,,True,,2.265453338623047,8,100,True
vasp-data-files/110001110110000110011100/OSZICAR,0,100,0,,,True,,2.365507125854492,8,100,True
vasp-data-files/110001111011001111111001/OSZICAR,1,100,1,,,True,,2.3636832237243652,8,100,True
vasp-data-files/110001111110110011011111/OSZICAR,0,100,0,,,True,,2.251722812652588,8,100,True
vasp-data-files/110010001001100111111001/OSZICAR,1,100,1,,,True,,2.125858783721924,8,100,True
