filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_level,actual_steps,enough_steps
vasp-data-files/100000001110110011111111/OSZICAR,1,100,1.0,,,True,,25.682722091674805,Confident,100.0,True
vasp-data-files/100000010110101000100111/OSZICAR,0,100,1.0,,,True,,80.11547255516052,Certain,100.0,True
vasp-data-files/100000010111101001010111/OSZICAR,0,100,1.0,,,True,,28.966652154922485,Confident,100.0,True
vasp-data-files/100000011111111011000100/OSZICAR,0,100,1.0,,,True,,21.07635498046875,Confident,100.0,True
vasp-data-files/100000110100101101010001/OSZICAR,1,100,1.0,,,True,,29.949634075164795,Certain,100.0,True
vasp-data-files/100000110100111111010001/OSZICAR,1,100,1.0,,,True,,278.70089960098267,Confident,100.0,True
vasp-data-files/100000111001001001011111/OSZICAR,1,100,1.0,,,True,,43.77576160430908,Certain,100.0,True
vasp-data-files/100000111100111001000001/OSZICAR,1,100,1.0,,,True,,29.49469780921936,Certain,100.0,True
vasp-data-files/100000111101000011011111/OSZICAR,1,100,1.0,,,True,,30.032691478729248,Certain,100.0,True
vasp-data-files/100001000101111011011110/OSZICAR,1,100,1.0,,,True,,152.5573832988739,Certain,100.0,True
vasp-data-files/100001010000011010111110/OSZICAR,1,100,1.0,,,True,,68.39229774475098,Certain,100.0,True
vasp-data-files/100001010100111010100000/OSZICAR,1,100,1.0,,,True,,60.672014236450195,Confident,100.0,True
vasp-data-files/100001010110001011010101/OSZICAR,1,100,1.0,,,True,,176.07551789283752,Confident,100.0,True
vasp-data-files/100001010110011010010010/OSZICAR,1,100,1.0,,,True,,186.15828227996826,Certain,100.0,True
vasp-data-files/100001010111011100010001/OSZICAR,0,100,1.0,,,True,,144.6891589164734,Certain,100.0,True
vasp-data-files/100001010111110011101110/OSZICAR,0,100,1.0,,,True,,27.578484058380127,Confident,100.0,True
vasp-data-files/100001011101111010001100/OSZICAR,0,100,1.0,,,True,,33.85623836517334,Certain,100.0,True
vasp-data-files/100001011111111001010111/OSZICAR,0,100,1.0,,,True,,17.524822235107422,Confident,100.0,True
vasp-data-files/100001110001101111000111/OSZICAR,0,100,1.0,,,True,,583.3910930156708,Confident,100.0,True
vasp-data-files/100001110100101101010001/OSZICAR,1,100,1.0,,,True,,166.59210729599,Certain,100.0,True
vasp-data-files/100001110101000011011111/OSZICAR,0,100,1.0,,,True,,18.21108365058899,Certain,100.0,True
vasp-data-files/100001110101100011010111/OSZICAR,0,100,1.0,,,True,,11.752424240112305,Confident,100.0,True
vasp-data-files/100001110110111111011001/OSZICAR,0,100,1.0,,,True,,327.8816921710968,Certain,100.0,True
vasp-data-files/100001111000111101011001/OSZICAR,1,100,1.0,,,True,,195.81471920013428,Certain,100.0,True
vasp-data-files/100001111010000001010101/OSZICAR,0,100,1.0,,,True,,23.67474389076233,Confident,100.0,True
vasp-data-files/100001111011000011011111/OSZICAR,1,100,1.0,,,True,,41.481112003326416,Certain,100.0,True
vasp-data-files/100001111100010010011110/OSZICAR,1,100,1.0,,,True,,16.7962327003479,Confident,100.0,True
vasp-data-files/100001111100010010111110/OSZICAR,1,100,1.0,,,True,,48.169230937957764,Certain,100.0,True
vasp-data-files/100001111100111101010011/OSZICAR,0,100,1.0,,,True,,16.500215768814087,Confident,100.0,True
vasp-data-files/100001111101001001011111/OSZICAR,0,100,1.0,,,True,,46.060152530670166,Confident,100.0,True
vasp-data-files/100001111101001011011111/OSZICAR,1,100,1.0,,,True,,12.910834789276123,Certain,100.0,True
vasp-data-files/100001111101001111010011/OSZICAR,1,100,1.0,,,True,,35.74761939048767,Confident,100.0,True
vasp-data-files/100010001001111100101000/OSZICAR,1,100,1.0,,,True,,77.40502429008484,Certain,100.0,True
vasp-data-files/100010001001111100101001/OSZICAR,1,100,1.0,,,True,,17.20217537879944,Confident,100.0,True
vasp-data-files/100010001011000001111111/OSZICAR,1,100,1.0,,,True,,18.66276741027832,Certain,100.0,True
vasp-data-files/100010001111111111111010/OSZICAR,0,100,1.0,,,True,,204.45883870124817,Certain,100.0,True
vasp-data-files/100010010011000001111110/OSZICAR,1,100,1.0,,,True,,165.04048824310303,Certain,100.0,True
vasp-data-files/100010010100111100100000/OSZICAR,0,100,1.0,,,True,,15.932255744934082,Confident,100.0,True
vasp-data-files/100010010101100100100000/OSZICAR,0,100,1.0,,,True,,63.31197762489319,Confident,100.0,True
vasp-data-files/100010010110001011010101/OSZICAR,0,100,1.0,,,True,,301.4890968799591,Confident,100.0,True
vasp-data-files/100010101011000001011111/OSZICAR,0,100,1.0,,,True,,32.49628520011902,Confident,100.0,True
vasp-data-files/100010110010001110111111/OSZICAR,1,100,1.0,,,True,,283.7157759666443,Confident,100.0,True
vasp-data-files/100010110010001111111101/OSZICAR,1,100,1.0,,,True,,142.0692868232727,Confident,100.0,True
vasp-data-files/100010110100110000110000/OSZICAR,0,100,,,,False,API调用失败,360.32120060920715,,,
vasp-data-files/100010111000111100100000/OSZICAR,1,100,1.0,,,True,,219.1270899772644,Certain,100.0,True
vasp-data-files/100010111000111100100101/OSZICAR,1,100,1.0,,,True,,99.75581669807434,Confident,100.0,True
vasp-data-files/100010111010001101011111/OSZICAR,1,100,1.0,,,True,,280.4812264442444,Certain,100.0,True
vasp-data-files/100010111011110101000001/OSZICAR,0,100,1.0,,,True,,16.29891276359558,Confident,100.0,True
vasp-data-files/100011010011000001101110/OSZICAR,0,100,1.0,,,True,,18.527244329452515,Certain,100.0,True
vasp-data-files/100011010111111010000110/OSZICAR,1,100,1.0,,,True,,27.015628814697266,Certain,100.0,True
