filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101101110001000000000110/OSZICAR,0,100,0,,,True,,11.12883973121643,5,100,True
vasp-data-files/101101111110111111010001/OSZICAR,0,100,0,,,True,,6.508069038391113,6,100,True
vasp-data-files/101101111111110011010001/OSZICAR,1,100,0,,,True,,5.784030914306641,7,100,True
vasp-data-files/101110000001100001100001/OSZICAR,0,100,1,,,True,,5.758594751358032,6,100,True
vasp-data-files/101110000100001010011000/OSZICAR,1,100,0,,,True,,5.573793172836304,7,100,True
vasp-data-files/101110000100111110100000/OSZICAR,0,100,0,,,True,,5.670568466186523,7,100,True
vasp-data-files/101110000101000001101111/OSZICAR,1,100,1,,,True,,5.613609790802002,8,100,True
vasp-data-files/101110000101110011000100/OSZICAR,1,100,0,,,True,,6.651169300079346,7,100,True
vasp-data-files/101110001101010111010001/OSZICAR,0,100,1,,,True,,6.457397937774658,6,100,True
vasp-data-files/101110001110011101010011/OSZICAR,0,100,1,,,True,,5.742730379104614,6,100,True
vasp-data-files/101110010100111011000100/OSZICAR,1,100,1,,,True,,5.503668785095215,6,100,True
vasp-data-files/101110011001010001000110/OSZICAR,0,100,0,,,True,,5.39260196685791,7,100,True
vasp-data-files/101110101100010000111110/OSZICAR,0,100,1,,,True,,4.081997871398926,6,100,True
vasp-data-files/101110111010110011001111/OSZICAR,0,100,0,,,True,,21.01589822769165,8,100,True
vasp-data-files/101111000001111110100000/OSZICAR,0,100,0,,,True,,5.892537355422974,7,100,True
vasp-data-files/101111000100011100100100/OSZICAR,1,100,1,,,True,,7.022809743881226,5,100,True
vasp-data-files/101111000100111010100011/OSZICAR,1,100,1,,,True,,5.919615745544434,7,100,True
vasp-data-files/101111000110011100100100/OSZICAR,0,100,1,,,True,,5.683933973312378,6,100,True
vasp-data-files/101111001000100011010111/OSZICAR,1,100,1,,,True,,4.5774993896484375,8,100,True
vasp-data-files/101111001011100011100001/OSZICAR,1,100,1,,,True,,8.154999494552612,6,100,True
vasp-data-files/101111001100010010100010/OSZICAR,1,100,1,,,True,,5.8827784061431885,6,100,True
vasp-data-files/101111001100010011100010/OSZICAR,1,100,0,,,True,,5.234844923019409,6,100,True
vasp-data-files/101111010100110000100100/OSZICAR,0,100,1,,,True,,6.322187185287476,6,100,True
vasp-data-files/101111010101001111101011/OSZICAR,1,100,0,,,True,,5.7969818115234375,7,100,True
vasp-data-files/101111100000000011101101/OSZICAR,0,100,1,,,True,,6.89115047454834,6,100,True
vasp-data-files/101111100100111011100011/OSZICAR,1,100,0,,,True,,5.3477888107299805,6,100,True
vasp-data-files/101111100101000010111111/OSZICAR,0,100,0,,,True,,6.466150522232056,7,100,True
vasp-data-files/101111100101111000100000/OSZICAR,1,100,1,,,True,,4.809470176696777,8,100,True
vasp-data-files/101111100110001111111101/OSZICAR,1,100,0,,,True,,4.9187891483306885,5,100,True
vasp-data-files/101111101101011010111100/OSZICAR,1,100,0,,,True,,5.036221981048584,7,100,True
vasp-data-files/110000000011100101010001/OSZICAR,0,100,1,,,True,,5.740482807159424,8,100,True
vasp-data-files/110000010011000011011001/OSZICAR,0,100,1,,,True,,9.429823875427246,8,100,True
vasp-data-files/110000010110101101010011/OSZICAR,0,100,1,,,True,,5.029472351074219,8,100,True
vasp-data-files/110000011001000011111010/OSZICAR,1,100,0,,,True,,5.313608646392822,7,100,True
vasp-data-files/110000011100011000001011/OSZICAR,1,100,1,,,True,,5.432633638381958,7,100,True
vasp-data-files/110000011100111100000000/OSZICAR,0,100,0,,,True,,4.949253797531128,7,100,True
vasp-data-files/110000101000000110101100/OSZICAR,0,100,0,,,True,,7.512159109115601,6,100,True
vasp-data-files/110000101010001110011011/OSZICAR,0,100,1,,,True,,5.029421329498291,7,100,True
vasp-data-files/110000110001111111010001/OSZICAR,1,100,1,,,True,,8.081916809082031,6,100,True
vasp-data-files/110000111011001111011011/OSZICAR,0,100,0,,,True,,5.259501934051514,8,100,True
vasp-data-files/110000111110100001010011/OSZICAR,0,100,0,,,True,,5.436851739883423,6,100,True
vasp-data-files/110001000011001111101110/OSZICAR,0,100,1,,,True,,6.269189834594727,6,100,True
vasp-data-files/110001001100001101110101/OSZICAR,0,100,0,,,True,,5.942505836486816,7,100,True
vasp-data-files/110001010101000001010111/OSZICAR,1,100,1,,,True,,6.043730020523071,6,100,True
vasp-data-files/110001011011111101111011/OSZICAR,1,100,1,,,True,,5.299956321716309,8,100,True
vasp-data-files/110001101111010110111011/OSZICAR,1,100,1,,,True,,5.545644998550415,7,100,True
vasp-data-files/110001110110000110011100/OSZICAR,0,100,1,,,True,,4.853400468826294,6,100,True
vasp-data-files/110001111011001111111001/OSZICAR,1,100,1,,,True,,5.1209423542022705,8,100,True
vasp-data-files/110001111110110011011111/OSZICAR,0,100,0,,,True,,4.320765256881714,8,100,True
vasp-data-files/110010001001100111111001/OSZICAR,1,100,0,,,True,,5.604882001876831,8,100,True
