filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_level,actual_steps,enough_steps
vasp-data-files/100000001110110011111111/OSZICAR,1,100,, car holding,,False,无法解析LLM响应,4.634644985198975,,100.0,True
vasp-data-files/100000010110101000100111/OSZICAR,0,100,0.0,,,True,,3.079758644104004,Confident,100.0,True
vasp-data-files/100000010111101001010111/OSZICAR,0,100,0.0,,,True,,2.9234657287597656,Confident,100.0,True
vasp-data-files/100000011111111011000100/OSZICAR,0,100,0.0,,,True,,2.882326364517212,Confident,100.0,True
vasp-data-files/100000110100101101010001/OSZICAR,1,100,,,,False,API调用失败,68.57294654846191,,,
vasp-data-files/100000110100111111010001/OSZICAR,1,100,0.0,,,True,,4.118463516235352,Confident,100.0,True
vasp-data-files/100000111001001001011111/OSZICAR,1,100,0.0,,,True,,2.859179735183716,Confident,100.0,True
vasp-data-files/100000111100111001000001/OSZICAR,1,100,1.0,,,True,,3.2388389110565186,Certain,100.0,True
vasp-data-files/100000111101000011011111/OSZICAR,1,100,1.0,,,True,,2.9245967864990234,Confident,100.0,True
vasp-data-files/100001000101111011011110/OSZICAR,1,100,1.0,,,True,,2.776510238647461,Certain,100.0,True
vasp-data-files/100001010000011010111110/OSZICAR,1,100,1.0,,,True,,2.818370819091797,Confident,100.0,True
vasp-data-files/100001010100111010100000/OSZICAR,1,100,0.0,,,True,,4.228298664093018,Confident,100.0,True
vasp-data-files/100001010110001011010101/OSZICAR,1,100,,,,False,API调用失败,68.59528875350952,,,
vasp-data-files/100001010110011010010010/OSZICAR,1,100,0.0,,,True,,2.965191125869751,Confident,100.0,True
vasp-data-files/100001010111011100010001/OSZICAR,0,100,0.0,,,True,,2.54349946975708,Confident,100.0,True
vasp-data-files/100001010111110011101110/OSZICAR,0,100,0.0,,,True,,4.31816840171814,Confident,100.0,True
vasp-data-files/100001011101111010001100/OSZICAR,0,100,1.0,,,True,,2.960935592651367,Confident,100.0,True
vasp-data-files/100001011111111001010111/OSZICAR,0,100,0.0,,,True,,2.8782334327697754,Confident,100.0,True
vasp-data-files/100001110001101111000111/OSZICAR,0,100,0.0,,,True,,2.7857184410095215,Confident,100.0,True
vasp-data-files/100001110100101101010001/OSZICAR,1,100,0.0,,,True,,3.24062180519104,Confident,100.0,True
vasp-data-files/100001110101000011011111/OSZICAR,0,100,1.0,,,True,,3.231172561645508,Confident,100.0,True
vasp-data-files/100001110101100011010111/OSZICAR,0,100,,""" ",,False,无法解析LLM响应,3.110227108001709,,100.0,True
vasp-data-files/100001110110111111011001/OSZICAR,0,100,0.0,,,True,,3.875457286834717,Confident,100.0,True
vasp-data-files/100001111000111101011001/OSZICAR,1,100,1.0,,,True,,3.291287660598755,Confident,100.0,True
vasp-data-files/100001111010000001010101/OSZICAR,0,100,0.0,,,True,,2.5938706398010254,Confident,100.0,True
vasp-data-files/100001111011000011011111/OSZICAR,1,100,1.0,,,True,,3.9519526958465576,Confident,100.0,True
vasp-data-files/100001111100010010011110/OSZICAR,1,100,0.0,,,True,,3.2037193775177,Confident,100.0,True
vasp-data-files/100001111100010010111110/OSZICAR,1,100,1.0,,,True,,2.7748520374298096,Confident,100.0,True
vasp-data-files/100001111100111101010011/OSZICAR,0,100,0.0,,,True,,3.3812339305877686,Confident,100.0,True
vasp-data-files/100001111101001001011111/OSZICAR,0,100,0.0,,,True,,8.419043064117432,Confident,100.0,True
vasp-data-files/100001111101001011011111/OSZICAR,1,100,1.0,,,True,,3.1060287952423096,Confident,100.0,True
vasp-data-files/100001111101001111010011/OSZICAR,1,100,0.0,,,True,,3.083003044128418,Confident,100.0,True
vasp-data-files/100010001001111100101000/OSZICAR,1,100,1.0,,,True,,3.3118321895599365,Confident,100.0,True
vasp-data-files/100010001001111100101001/OSZICAR,1,100,0.0,,,True,,3.344672203063965,Confident,100.0,True
vasp-data-files/100010001011000001111111/OSZICAR,1,100,1.0,,,True,,2.562102794647217,Confident,100.0,True
vasp-data-files/100010001111111111111010/OSZICAR,0,100,0.0,,,True,,3.392805337905884,Confident,100.0,True
vasp-data-files/100010010011000001111110/OSZICAR,1,100,1.0,,,True,,2.513437271118164,Confident,100.0,True
vasp-data-files/100010010100111100100000/OSZICAR,0,100,0.0,,,True,,3.173717975616455,Confident,100.0,True
vasp-data-files/100010010101100100100000/OSZICAR,0,100,0.0,,,True,,5.1942503452301025,Confident,100.0,True
vasp-data-files/100010010110001011010101/OSZICAR,0,100,0.0,,,True,,3.7063450813293457,Confident,100.0,True
vasp-data-files/100010101011000001011111/OSZICAR,0,100,1.0,,,True,,6.710028409957886,Confident,100.0,True
vasp-data-files/100010110010001110111111/OSZICAR,1,100,0.0,,,True,,4.531391859054565,Confident,100.0,True
vasp-data-files/100010110010001111111101/OSZICAR,1,100,1.0,,,True,,3.588484525680542,Confident,100.0,True
vasp-data-files/100010110100110000110000/OSZICAR,0,100,0.0,,,True,,2.6875109672546387,Confident,100.0,True
vasp-data-files/100010111000111100100000/OSZICAR,1,100,1.0,,,True,,3.7812917232513428,Confident,100.0,True
vasp-data-files/100010111000111100100101/OSZICAR,1,100,0.0,,,True,,2.6719210147857666,Confident,100.0,True
vasp-data-files/100010111010001101011111/OSZICAR,1,100,0.0,,,True,,3.257371664047241,Confident,100.0,True
vasp-data-files/100010111011110101000001/OSZICAR,0,100,0.0,,,True,,8.234851837158203,Confident,100.0,True
vasp-data-files/100011010011000001101110/OSZICAR,0,100,0.0,,,True,,2.4619624614715576,Confident,100.0,True
vasp-data-files/100011010111111010000110/OSZICAR,1,100,0.0,,,True,,2.7192001342773438,Confident,100.0,True
