filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101101110001000000000110/OSZICAR,0,100,0,,,True,,91.84453415870667,9,100,True
vasp-data-files/101101111110111111010001/OSZICAR,0,100,0,,,True,,151.74871039390564,9,100,True
vasp-data-files/101101111111110011010001/OSZICAR,1,100,0,,,True,,52.20598530769348,8,100,True
vasp-data-files/101110000001100001100001/OSZICAR,0,100,0,,,True,,32.72871541976929,8,100,True
vasp-data-files/101110000100001010011000/OSZICAR,1,100,0,,,True,,267.8481249809265,7,100,True
vasp-data-files/101110000100111110100000/OSZICAR,0,100,0,,,True,,46.553826332092285,8,100,True
vasp-data-files/101110000101000001101111/OSZICAR,1,100,1,,,True,,286.21478152275085,8,100,True
vasp-data-files/101110000101110011000100/OSZICAR,1,100,0,,,True,,35.92153763771057,8,100,True
vasp-data-files/101110001101010111010001/OSZICAR,0,100,0,,,True,,92.375492811203,7,100,True
vasp-data-files/101110001110011101010011/OSZICAR,0,100,1,,,True,,72.46999335289001,7,100,True
vasp-data-files/101110010100111011000100/OSZICAR,1,100,0,,,True,,40.903087854385376,8,100,True
vasp-data-files/101110011001010001000110/OSZICAR,0,100,0,,,True,,111.80726099014282,8,100,True
vasp-data-files/101110101100010000111110/OSZICAR,0,100,0,,,True,,130.39239072799683,8,100,True
vasp-data-files/101110111010110011001111/OSZICAR,0,100,0,,,True,,171.29912304878235,8,100,True
vasp-data-files/101111000001111110100000/OSZICAR,0,100,0,,,True,,53.349802017211914,8,100,True
vasp-data-files/101111000100011100100100/OSZICAR,1,100,0,,,True,,306.8337197303772,8,100,True
vasp-data-files/101111000100111010100011/OSZICAR,1,100,0,,,True,,199.964359998703,8,100,True
vasp-data-files/101111000110011100100100/OSZICAR,0,100,0,,,True,,111.17241883277893,8,100,True
vasp-data-files/101111001000100011010111/OSZICAR,1,100,1,,,True,,36.67062783241272,7,100,True
vasp-data-files/101111001011100011100001/OSZICAR,1,100,0,,,True,,59.37466883659363,8,100,True
vasp-data-files/101111001100010010100010/OSZICAR,1,100,0,,,True,,85.41144752502441,8,100,True
vasp-data-files/101111001100010011100010/OSZICAR,1,100,0,,,True,,76.83015704154968,8,100,True
vasp-data-files/101111010100110000100100/OSZICAR,0,100,0,,,True,,22.39389967918396,8,100,True
vasp-data-files/101111010101001111101011/OSZICAR,1,100,0,,,True,,70.9559485912323,8,100,True
vasp-data-files/101111100000000011101101/OSZICAR,0,100,1,,,True,,135.40360236167908,7,100,True
vasp-data-files/101111100100111011100011/OSZICAR,1,100,0,,,True,,128.06112957000732,9,100,True
vasp-data-files/101111100101000010111111/OSZICAR,0,100,0,,,True,,194.74820590019226,9,100,True
vasp-data-files/101111100101111000100000/OSZICAR,1,100,1,,,True,,82.03844237327576,9,100,True
vasp-data-files/101111100110001111111101/OSZICAR,1,100,0,,,True,,48.078134298324585,8,100,True
vasp-data-files/101111101101011010111100/OSZICAR,1,100,1,,,True,,77.2740650177002,9,100,True
vasp-data-files/110000000011100101010001/OSZICAR,0,100,0,,,True,,98.32891607284546,7,100,True
vasp-data-files/110000010011000011011001/OSZICAR,0,100,0,,,True,,50.547088861465454,8,100,True
vasp-data-files/110000010110101101010011/OSZICAR,0,100,0,,,True,,79.81467890739441,9,100,True
vasp-data-files/110000011001000011111010/OSZICAR,1,100,1,,,True,,61.9277184009552,7,100,True
vasp-data-files/110000011100011000001011/OSZICAR,1,100,1,,,True,,81.36922788619995,7,100,True
vasp-data-files/110000011100111100000000/OSZICAR,0,100,0,,,True,,36.12617492675781,8,100,True
vasp-data-files/110000101000000110101100/OSZICAR,0,100,0,,,True,,62.246784687042236,8,100,True
vasp-data-files/110000101010001110011011/OSZICAR,0,100,0,,,True,,76.83778786659241,8,100,True
vasp-data-files/110000110001111111010001/OSZICAR,1,100,0,,,True,,213.1908495426178,8,100,True
vasp-data-files/110000111011001111011011/OSZICAR,0,100,0,,,True,,101.21690058708191,8,100,True
vasp-data-files/110000111110100001010011/OSZICAR,0,100,0,,,True,,82.41343092918396,8,100,True
vasp-data-files/110001000011001111101110/OSZICAR,0,100,0,,,True,,43.29541563987732,8,100,True
vasp-data-files/110001001100001101110101/OSZICAR,0,100,0,,,True,,82.45896005630493,8,100,True
vasp-data-files/110001010101000001010111/OSZICAR,1,100,0,,,True,,52.156569719314575,8,100,True
vasp-data-files/110001011011111101111011/OSZICAR,1,100,0,,,True,,120.23033356666565,8,100,True
vasp-data-files/110001101111010110111011/OSZICAR,1,100,0,,,True,,58.22275686264038,8,100,True
vasp-data-files/110001110110000110011100/OSZICAR,0,100,0,,,True,,60.3442177772522,8,100,True
vasp-data-files/110001111011001111111001/OSZICAR,1,100,0,,,True,,165.89094424247742,8,100,True
vasp-data-files/110001111110110011011111/OSZICAR,0,100,0,,,True,,31.372316598892212,9,100,True
vasp-data-files/110010001001100111111001/OSZICAR,1,100,0,,,True,,46.8683807849884,7,100,True
