filepath,true_label,n_steps,prediction,reasoning,roc_probability,success,error,api_time,confidence_score,actual_steps,enough_steps
vasp-data-files/101101110001000000000110/OSZICAR,0,100,1,,,True,,3.9775896072387695,8,100,True
vasp-data-files/101101111110111111010001/OSZICAR,0,100,0,,,True,,2.3499555587768555,8,100,True
vasp-data-files/101101111111110011010001/OSZICAR,1,100,0,,,True,,2.057387351989746,8,100,True
vasp-data-files/101110000001100001100001/OSZICAR,0,100,0,,,True,,2.3147635459899902,8,100,True
vasp-data-files/101110000100001010011000/OSZICAR,1,100,0,,,True,,1.8679804801940918,8,100,True
vasp-data-files/101110000100111110100000/OSZICAR,0,100,0,,,True,,2.223308801651001,8,100,True
vasp-data-files/101110000101000001101111/OSZICAR,1,100,0,,,True,,3.1223158836364746,8,100,True
vasp-data-files/101110000101110011000100/OSZICAR,1,100,0,,,True,,2.8105244636535645,8,100,True
vasp-data-files/101110001101010111010001/OSZICAR,0,100,1,,,True,,2.6015408039093018,8,100,True
vasp-data-files/101110001110011101010011/OSZICAR,0,100,0,,,True,,1.927422046661377,8,100,True
vasp-data-files/101110010100111011000100/OSZICAR,1,100,0,,,True,,2.0508413314819336,8,100,True
vasp-data-files/101110011001010001000110/OSZICAR,0,100,1,,,True,,2.216278553009033,8,100,True
vasp-data-files/101110101100010000111110/OSZICAR,0,100,0,,,True,,2.0875649452209473,8,100,True
vasp-data-files/101110111010110011001111/OSZICAR,0,100,1,,,True,,1.977250337600708,8,100,True
vasp-data-files/101111000001111110100000/OSZICAR,0,100,1,,,True,,2.4644463062286377,8,100,True
vasp-data-files/101111000100011100100100/OSZICAR,1,100,1,,,True,,2.0612571239471436,8,100,True
vasp-data-files/101111000100111010100011/OSZICAR,1,100,1,,,True,,2.3868119716644287,8,100,True
vasp-data-files/101111000110011100100100/OSZICAR,0,100,1,,,True,,2.1380248069763184,8,100,True
vasp-data-files/101111001000100011010111/OSZICAR,1,100,1,,,True,,2.3717002868652344,8,100,True
vasp-data-files/101111001011100011100001/OSZICAR,1,100,0,,,True,,2.3557798862457275,8,100,True
vasp-data-files/101111001100010010100010/OSZICAR,1,100,1,,,True,,2.316845417022705,8,100,True
vasp-data-files/101111001100010011100010/OSZICAR,1,100,1,,,True,,2.130147695541382,8,100,True
vasp-data-files/101111010100110000100100/OSZICAR,0,100,0,,,True,,2.6493892669677734,8,100,True
vasp-data-files/101111010101001111101011/OSZICAR,1,100,1,,,True,,1.8538281917572021,8,100,True
vasp-data-files/101111100000000011101101/OSZICAR,0,100,1,,,True,,2.0198721885681152,8,100,True
vasp-data-files/101111100100111011100011/OSZICAR,1,100,1,,,True,,2.1895124912261963,8,100,True
vasp-data-files/101111100101000010111111/OSZICAR,0,100,0,,,True,,3.2986209392547607,8,100,True
vasp-data-files/101111100101111000100000/OSZICAR,1,100,1,,,True,,1.9559504985809326,8,100,True
vasp-data-files/101111100110001111111101/OSZICAR,1,100,0,,,True,,1.8357172012329102,8,100,True
vasp-data-files/101111101101011010111100/OSZICAR,1,100,1,,,True,,1.9271326065063477,8,100,True
vasp-data-files/110000000011100101010001/OSZICAR,0,100,1,,,True,,2.615898370742798,8,100,True
vasp-data-files/110000010011000011011001/OSZICAR,0,100,1,,,True,,2.2567243576049805,8,100,True
vasp-data-files/110000010110101101010011/OSZICAR,0,100,1,,,True,,2.271470546722412,8,100,True
vasp-data-files/110000011001000011111010/OSZICAR,1,100,1,,,True,,2.4643490314483643,8,100,True
vasp-data-files/110000011100011000001011/OSZICAR,1,100,1,,,True,,2.0616116523742676,8,100,True
vasp-data-files/110000011100111100000000/OSZICAR,0,100,0,,,True,,2.567629814147949,8,100,True
vasp-data-files/110000101000000110101100/OSZICAR,0,100,0,,,True,,1.9747159481048584,8,100,True
vasp-data-files/110000101010001110011011/OSZICAR,0,100,0,,,True,,1.9079031944274902,8,100,True
vasp-data-files/110000110001111111010001/OSZICAR,1,100,1,,,True,,2.086414337158203,8,100,True
vasp-data-files/110000111011001111011011/OSZICAR,0,100,0,,,True,,2.3172268867492676,8,100,True
vasp-data-files/110000111110100001010011/OSZICAR,0,100,1,,,True,,2.01474928855896,8,100,True
vasp-data-files/110001000011001111101110/OSZICAR,0,100,0,,,True,,2.206879138946533,8,100,True
vasp-data-files/110001001100001101110101/OSZICAR,0,100,1,,,True,,2.1036338806152344,8,100,True
vasp-data-files/110001010101000001010111/OSZICAR,1,100,1,,,True,,2.2643256187438965,8,100,True
vasp-data-files/110001011011111101111011/OSZICAR,1,100,1,,,True,,2.220397472381592,8,100,True
vasp-data-files/110001101111010110111011/OSZICAR,1,100,1,,,True,,1.7825558185577393,8,100,True
vasp-data-files/110001110110000110011100/OSZICAR,0,100,0,,,True,,1.9013442993164062,8,100,True
vasp-data-files/110001111011001111111001/OSZICAR,1,100,1,,,True,,1.9257445335388184,8,100,True
vasp-data-files/110001111110110011011111/OSZICAR,0,100,0,,,True,,2.155264377593994,8,100,True
vasp-data-files/110010001001100111111001/OSZICAR,1,100,1,,,True,,2.4094314575195312,8,100,True
